,Indicator,Group,Subgroup,Time_Period,Value,Risk,year
920,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-05-28,32.1,High,2020
921,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-05-28,29.0,Moderate,2020
922,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-05-28,33.8,High,2020
923,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-05-28,28.4,Moderate,2020
924,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-05-28,44.6,Extreme,2020
990,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-05-28,38.3,Extreme,2020
991,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-05-28,33.1,High,2020
992,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-05-28,40.5,Extreme,2020
993,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-05-28,34.2,High,2020
994,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-05-28,49.6,Extreme,2020
1060,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-06-04,30.8,High,2020
1061,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-06-04,23.9,Mild,2020
1062,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-06-04,29.6,Moderate,2020
1063,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-06-04,19.8,Mild,2020
1064,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-06-04,33.9,High,2020
1130,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-06-04,34.0,High,2020
1131,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-06-04,29.6,Moderate,2020
1132,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-06-04,34.6,High,2020
1133,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-06-04,25.6,Moderate,2020
1134,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-06-04,40.4,Extreme,2020
1200,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-06-04,40.8,Extreme,2020
1201,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-06-04,34.0,High,2020
1202,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-06-04,40.0,Extreme,2020
1203,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-06-04,29.2,Moderate,2020
1204,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-06-04,48.1,Extreme,2020
1270,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-06-11,28.4,Moderate,2020
1271,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-06-11,23.5,Mild,2020
1272,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-06-11,28.3,Moderate,2020
1273,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-06-11,21.0,Mild,2020
1274,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-06-11,32.3,High,2020
1340,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-06-11,33.6,High,2020
1341,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-06-11,30.6,High,2020
1342,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-06-11,35.8,Extreme,2020
1343,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-06-11,26.0,Moderate,2020
1344,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-06-11,37.6,Extreme,2020
1410,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-06-11,39.6,Extreme,2020
1411,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-06-11,34.3,High,2020
1412,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-06-11,40.0,Extreme,2020
1413,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-06-11,29.9,High,2020
1414,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-06-11,44.3,Extreme,2020
1480,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-06-18,29.0,Moderate,2020
1481,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-06-18,24.2,Mild,2020
1482,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-06-18,28.1,Moderate,2020
1483,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-06-18,20.1,Mild,2020
1484,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-06-18,34.1,High,2020
1550,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-06-18,36.5,Extreme,2020
1551,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-06-18,29.8,High,2020
1552,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-06-18,32.6,High,2020
1553,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-06-18,23.0,Mild,2020
1554,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-06-18,39.7,Extreme,2020
1620,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-06-18,42.3,Extreme,2020
1621,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-06-18,34.1,High,2020
1622,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-06-18,39.1,Extreme,2020
1623,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-06-18,27.8,Moderate,2020
1624,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-06-18,45.1,Extreme,2020
1690,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-06-25,31.1,High,2020
1691,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-06-25,24.9,Moderate,2020
1692,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-06-25,30.9,High,2020
1693,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-06-25,21.5,Mild,2020
1694,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-06-25,36.8,Extreme,2020
1760,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-06-25,37.0,Extreme,2020
1761,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-06-25,31.4,High,2020
1762,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-06-25,35.1,High,2020
1763,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-06-25,24.3,Mild,2020
1764,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-06-25,45.4,Extreme,2020
1830,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-06-25,42.8,Extreme,2020
1831,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-06-25,35.8,Extreme,2020
1832,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-06-25,41.3,Extreme,2020
1833,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-06-25,28.6,Moderate,2020
1834,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-06-25,49.6,Extreme,2020
1900,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-07-02,30.9,High,2020
1901,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-07-02,26.0,Moderate,2020
1902,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-07-02,29.9,High,2020
1903,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-07-02,25.0,Moderate,2020
1904,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-07-02,35.6,Extreme,2020
1970,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-07-02,37.1,Extreme,2020
1971,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-07-02,32.9,High,2020
1972,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-07-02,34.0,High,2020
1973,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-07-02,29.9,High,2020
1974,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-07-02,43.3,Extreme,2020
2040,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-07-02,43.4,Extreme,2020
2041,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-07-02,37.2,Extreme,2020
2042,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-07-02,40.6,Extreme,2020
2043,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-07-02,36.6,Extreme,2020
2044,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-07-02,47.7,Extreme,2020
2110,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-07-09,31.0,High,2020
2111,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-07-09,26.6,Moderate,2020
2112,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-07-09,30.0,High,2020
2113,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-07-09,26.4,Moderate,2020
2114,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-07-09,36.1,Extreme,2020
2180,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-07-09,39.3,Extreme,2020
2181,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-07-09,34.1,High,2020
2182,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-07-09,36.9,Extreme,2020
2183,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-07-09,30.2,High,2020
2184,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-07-09,46.2,Extreme,2020
2250,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-07-09,44.0,Extreme,2020
2251,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-07-09,38.5,Extreme,2020
2252,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-07-09,42.7,Extreme,2020
2253,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-07-09,36.5,Extreme,2020
2254,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-07-09,51.2,Extreme,2020
2320,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-07-16,34.2,High,2020
2321,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-07-16,27.7,Moderate,2020
2322,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-07-16,32.1,High,2020
2323,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-07-16,30.5,High,2020
2324,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-07-16,33.0,High,2020
2390,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-07-16,41.9,Extreme,2020
2391,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-07-16,34.2,High,2020
2392,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-07-16,35.8,Extreme,2020
2393,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-07-16,35.0,High,2020
2394,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-07-16,43.8,Extreme,2020
2460,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-07-16,46.3,Extreme,2020
2461,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-07-16,38.8,Extreme,2020
2462,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-07-16,42.6,Extreme,2020
2463,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-07-16,40.3,Extreme,2020
2464,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-07-16,48.8,Extreme,2020
2549,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-08-19,28.5,Moderate,2020
2550,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-08-19,23.2,Mild,2020
2551,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-08-19,26.2,Moderate,2020
2552,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-08-19,20.8,Mild,2020
2553,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-08-19,30.3,High,2020
2638,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-08-19,33.3,High,2020
2639,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-08-19,31.2,High,2020
2640,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-08-19,30.8,High,2020
2641,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-08-19,25.1,Moderate,2020
2642,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-08-19,37.1,Extreme,2020
2727,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-08-19,40.2,Extreme,2020
2728,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-08-19,35.4,Extreme,2020
2729,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-08-19,37.7,Extreme,2020
2730,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-08-19,30.5,High,2020
2731,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-08-19,43.1,Extreme,2020
2797,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-09-02,28.9,Moderate,2020
2798,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-09-02,22.7,Mild,2020
2799,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-09-02,28.5,Moderate,2020
2800,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-09-02,19.1,Mild,2020
2801,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-09-02,31.4,High,2020
2867,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-09-02,35.9,Extreme,2020
2868,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-09-02,30.4,High,2020
2869,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-09-02,33.0,High,2020
2870,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-09-02,21.5,Mild,2020
2871,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-09-02,42.1,Extreme,2020
2937,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-09-02,42.0,Extreme,2020
2938,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-09-02,34.4,High,2020
2939,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-09-02,38.6,Extreme,2020
2940,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-09-02,27.4,Moderate,2020
2941,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-09-02,47.8,Extreme,2020
3007,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-09-16,31.0,High,2020
3008,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-09-16,23.4,Mild,2020
3009,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-09-16,25.8,Moderate,2020
3010,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-09-16,21.0,Mild,2020
3011,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-09-16,31.4,High,2020
3077,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-09-16,38.5,Extreme,2020
3078,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-09-16,31.4,High,2020
3079,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-09-16,32.0,High,2020
3080,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-09-16,25.0,Moderate,2020
3081,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-09-16,39.6,Extreme,2020
3147,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-09-16,44.4,Extreme,2020
3148,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-09-16,35.6,Extreme,2020
3149,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-09-16,37.4,Extreme,2020
3150,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-09-16,30.1,High,2020
3151,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-09-16,44.4,Extreme,2020
3217,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-09-30,31.5,High,2020
3218,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-09-30,23.3,Mild,2020
3219,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-09-30,29.2,Moderate,2020
3220,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-09-30,19.0,Mild,2020
3221,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-09-30,33.6,High,2020
3287,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-09-30,36.4,Extreme,2020
3288,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-09-30,31.6,High,2020
3289,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-09-30,32.2,High,2020
