,Indicator,Group,Subgroup,Time_Period,Value,Risk
5723,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-03-17,38.2,Extreme
5811,Symptoms of Depressive Disorder,By Sex,0,2021-04-14,20.5,Mild
5812,Symptoms of Depressive Disorder,By Sex,1,2021-04-14,25.2,Moderate
5902,Symptoms of Anxiety Disorder,By Sex,0,2021-04-14,23.0,Mild
5903,Symptoms of Anxiety Disorder,By Sex,1,2021-04-14,31.3,High
5993,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-04-14,27.9,Moderate
5994,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-04-14,36.3,Extreme
6065,Symptoms of Depressive Disorder,By Sex,0,2021-04-28,20.1,Mild
6066,Symptoms of Depressive Disorder,By Sex,1,2021-04-28,23.6,Mild
6137,Symptoms of Anxiety Disorder,By Sex,0,2021-04-28,22.5,Mild
6138,Symptoms of Anxiety Disorder,By Sex,1,2021-04-28,30.2,High
6209,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-04-28,26.9,Moderate
6210,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-04-28,34.3,High
6281,Symptoms of Depressive Disorder,By Sex,0,2021-05-12,19.7,Mild
6282,Symptoms of Depressive Disorder,By Sex,1,2021-05-12,23.3,Mild
6353,Symptoms of Anxiety Disorder,By Sex,0,2021-05-12,22.0,Mild
6354,Symptoms of Anxiety Disorder,By Sex,1,2021-05-12,29.2,Moderate
6425,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-05-12,26.6,Moderate
6426,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-05-12,33.4,High
6497,Symptoms of Depressive Disorder,By Sex,0,2021-05-26,19.3,Mild
6498,Symptoms of Depressive Disorder,By Sex,1,2021-05-26,22.4,Mild
6569,Symptoms of Anxiety Disorder,By Sex,0,2021-05-26,22.1,Mild
6570,Symptoms of Anxiety Disorder,By Sex,1,2021-05-26,28.5,Moderate
6641,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-05-26,26.6,Moderate
6642,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-05-26,32.4,High
6713,Symptoms of Depressive Disorder,By Sex,0,2021-06-09,20.1,Mild
6714,Symptoms of Depressive Disorder,By Sex,1,2021-06-09,23.0,Mild
6785,Symptoms of Anxiety Disorder,By Sex,0,2021-06-09,23.2,Mild
6786,Symptoms of Anxiety Disorder,By Sex,1,2021-06-09,28.8,Moderate
6857,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-06-09,27.6,Moderate
6858,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-06-09,33.0,High
6929,Symptoms of Depressive Disorder,By Sex,0,2021-06-23,18.4,Mild
6930,Symptoms of Depressive Disorder,By Sex,1,2021-06-23,23.1,Mild
7001,Symptoms of Anxiety Disorder,By Sex,0,2021-06-23,20.2,Mild
7002,Symptoms of Anxiety Disorder,By Sex,1,2021-06-23,28.5,Moderate
7073,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-06-23,24.4,Mild
7074,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-06-23,33.1,High
7166,Symptoms of Depressive Disorder,By Sex,0,2021-07-21,21.1,Mild
7167,Symptoms of Depressive Disorder,By Sex,1,2021-07-21,23.1,Mild
7265,Symptoms of Anxiety Disorder,By Sex,0,2021-07-21,23.6,Mild
7266,Symptoms of Anxiety Disorder,By Sex,1,2021-07-21,30.1,High
7364,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-07-21,28.3,Moderate
7365,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-07-21,34.1,High
7442,Symptoms of Depressive Disorder,By Sex,0,2021-08-04,19.6,Mild
7443,Symptoms of Depressive Disorder,By Sex,1,2021-08-04,23.0,Mild
7520,Symptoms of Anxiety Disorder,By Sex,0,2021-08-04,22.4,Mild
7521,Symptoms of Anxiety Disorder,By Sex,1,2021-08-04,30.5,High
7598,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-08-04,27.3,Moderate
7599,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-08-04,34.2,High
7676,Symptoms of Depressive Disorder,By Sex,0,2021-08-18,20.7,Mild
7677,Symptoms of Depressive Disorder,By Sex,1,2021-08-18,24.4,Mild
7754,Symptoms of Anxiety Disorder,By Sex,0,2021-08-18,23.4,Mild
7755,Symptoms of Anxiety Disorder,By Sex,1,2021-08-18,32.0,High
7832,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-08-18,28.0,Moderate
7833,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-08-18,36.0,Extreme
7910,Symptoms of Depressive Disorder,By Sex,0,2021-09-01,21.2,Mild
7911,Symptoms of Depressive Disorder,By Sex,1,2021-09-01,23.6,Mild
7988,Symptoms of Anxiety Disorder,By Sex,0,2021-09-01,24.5,Mild
7989,Symptoms of Anxiety Disorder,By Sex,1,2021-09-01,31.5,High
8066,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-09-01,28.8,Moderate
8067,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-09-01,35.3,Extreme
8144,Symptoms of Depressive Disorder,By Sex,0,2021-09-15,21.2,Mild
8145,Symptoms of Depressive Disorder,By Sex,1,2021-09-15,23.4,Mild
8222,Symptoms of Anxiety Disorder,By Sex,0,2021-09-15,24.0,Mild
8223,Symptoms of Anxiety Disorder,By Sex,1,2021-09-15,31.4,High
8300,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-09-15,28.8,Moderate
8301,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-09-15,35.3,Extreme
8378,Symptoms of Depressive Disorder,By Sex,0,2021-09-29,19.7,Mild
8379,Symptoms of Depressive Disorder,By Sex,1,2021-09-29,23.8,Mild
8456,Symptoms of Anxiety Disorder,By Sex,0,2021-09-29,22.9,Mild
8457,Symptoms of Anxiety Disorder,By Sex,1,2021-09-29,31.3,High
8534,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-09-29,27.5,Moderate
8535,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-09-29,35.3,Extreme
8633,Symptoms of Depressive Disorder,By Sex,0,2021-12-01,20.0,Mild
8634,Symptoms of Depressive Disorder,By Sex,1,2021-12-01,22.8,Mild
8732,Symptoms of Anxiety Disorder,By Sex,0,2021-12-01,22.9,Mild
8733,Symptoms of Anxiety Disorder,By Sex,1,2021-12-01,29.9,High
8831,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-12-01,27.5,Moderate
8832,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-12-01,33.8,High
