Group_name,Subgroup,Time_Period,Risk
By State,Alabama,2021-02-17,Extreme
By State,Alaska,2021-02-17,Extreme
By State,Arizona,2021-02-17,Extreme
By State,Arkansas,2021-02-17,Extreme
By State,California,2021-02-17,Extreme
By State,Colorado,2021-02-17,Extreme
By State,Connecticut,2021-02-17,Extreme
By State,Delaware,2021-02-17,High
By State,District of Columbia,2021-02-17,Extreme
By State,Florida,2021-02-17,Extreme
By State,Georgia,2021-02-17,Extreme
By State,Hawaii,2021-02-17,High
By State,Idaho,2021-02-17,Extreme
By State,Illinois,2021-02-17,Extreme
By State,Indiana,2021-02-17,Extreme
By State,Iowa,2021-02-17,High
By State,Kansas,2021-02-17,High
By State,Kentucky,2021-02-17,Extreme
By State,Louisiana,2021-02-17,Extreme
By State,Maine,2021-02-17,Extreme
By State,Maryland,2021-02-17,Extreme
By State,Massachusetts,2021-02-17,Extreme
By State,Michigan,2021-02-17,Extreme
By State,Minnesota,2021-02-17,Moderate
By State,Mississippi,2021-02-17,Extreme
By State,Missouri,2021-02-17,Extreme
By State,Montana,2021-02-17,High
By State,Nebraska,2021-02-17,Moderate
By State,Nevada,2021-02-17,Extreme
By State,New Hampshire,2021-02-17,High
By State,New Jersey,2021-02-17,Extreme
By State,New Mexico,2021-02-17,Extreme
By State,New York,2021-02-17,Extreme
By State,North Carolina,2021-02-17,Extreme
By State,North Dakota,2021-02-17,High
By State,Ohio,2021-02-17,Extreme
By State,Oklahoma,2021-02-17,Extreme
By State,Oregon,2021-02-17,Extreme
By State,Pennsylvania,2021-02-17,Extreme
By State,Rhode Island,2021-02-17,Extreme
By State,South Carolina,2021-02-17,Extreme
By State,South Dakota,2021-02-17,High
By State,Tennessee,2021-02-17,Extreme
By State,Texas,2021-02-17,Extreme
By State,Utah,2021-02-17,Extreme
By State,Vermont,2021-02-17,Extreme
By State,Virginia,2021-02-17,Extreme
By State,Washington,2021-02-17,Extreme
By State,West Virginia,2021-02-17,Extreme
By State,Wisconsin,2021-02-17,High
By State,Wyoming,2021-02-17,Extreme
National Estimate,United States,2021-03-03,Extreme
By Age,18 - 29 years,2021-03-03,Extreme
By Age,30 - 39 years,2021-03-03,Extreme
By Age,40 - 49 years,2021-03-03,Extreme
By Age,50 - 59 years,2021-03-03,High
By Age,60 - 69 years,2021-03-03,Moderate
By Age,70 - 79 years,2021-03-03,Mild
By Age,80 years and above,2021-03-03,Mild
By Sex,Male,2021-03-03,High
By Sex,Female,2021-03-03,Extreme
By Race/Hispanic ethnicity,Hispanic or Latino,2021-03-03,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-03-03,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-03-03,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-03-03,High
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-03-03,Extreme
By Education,Less than a high school diploma,2021-03-03,Extreme
By Education,High school diploma or GED,2021-03-03,Extreme
By Education,Some college/Associate's degree,2021-03-03,Extreme
By Education,Bachelor's degree or higher,2021-03-03,High
By State,Alabama,2021-03-03,Extreme
By State,Alaska,2021-03-03,Extreme
By State,Arizona,2021-03-03,Extreme
By State,Arkansas,2021-03-03,Extreme
By State,California,2021-03-03,Extreme
By State,Colorado,2021-03-03,Extreme
By State,Connecticut,2021-03-03,High
By State,Delaware,2021-03-03,High
By State,District of Columbia,2021-03-03,Extreme
By State,Florida,2021-03-03,Extreme
By State,Georgia,2021-03-03,High
By State,Hawaii,2021-03-03,High
By State,Idaho,2021-03-03,High
By State,Illinois,2021-03-03,Extreme
By State,Indiana,2021-03-03,High
By State,Iowa,2021-03-03,High
By State,Kansas,2021-03-03,Extreme
By State,Kentucky,2021-03-03,Extreme
By State,Louisiana,2021-03-03,Extreme
By State,Maine,2021-03-03,Extreme
By State,Maryland,2021-03-03,Extreme
By State,Massachusetts,2021-03-03,High
By State,Michigan,2021-03-03,Extreme
By State,Minnesota,2021-03-03,High
By State,Mississippi,2021-03-03,Extreme
By State,Missouri,2021-03-03,Extreme
By State,Montana,2021-03-03,High
By State,Nebraska,2021-03-03,High
By State,Nevada,2021-03-03,High
By State,New Hampshire,2021-03-03,Extreme
By State,New Jersey,2021-03-03,Extreme
By State,New Mexico,2021-03-03,Extreme
By State,New York,2021-03-03,Extreme
By State,North Carolina,2021-03-03,Extreme
By State,North Dakota,2021-03-03,Moderate
By State,Ohio,2021-03-03,Extreme
By State,Oklahoma,2021-03-03,Extreme
By State,Oregon,2021-03-03,Extreme
By State,Pennsylvania,2021-03-03,Extreme
By State,Rhode Island,2021-03-03,Extreme
By State,South Carolina,2021-03-03,High
By State,South Dakota,2021-03-03,Moderate
By State,Tennessee,2021-03-03,High
By State,Texas,2021-03-03,Extreme
By State,Utah,2021-03-03,High
By State,Vermont,2021-03-03,Extreme
By State,Virginia,2021-03-03,High
By State,Washington,2021-03-03,Extreme
By State,West Virginia,2021-03-03,Extreme
By State,Wisconsin,2021-03-03,High
By State,Wyoming,2021-03-03,Extreme
National Estimate,United States,2021-03-17,High
By Age,18 - 29 years,2021-03-17,Extreme
By Age,30 - 39 years,2021-03-17,Extreme
By Age,40 - 49 years,2021-03-17,Extreme
By Age,50 - 59 years,2021-03-17,High
By Age,60 - 69 years,2021-03-17,Moderate
By Age,70 - 79 years,2021-03-17,Mild
By Age,80 years and above,2021-03-17,Mild
By Sex,Male,2021-03-17,High
By Sex,Female,2021-03-17,Extreme
By Race/Hispanic ethnicity,Hispanic or Latino,2021-03-17,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-03-17,High
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-03-17,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-03-17,High
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-03-17,Extreme
By Education,Less than a high school diploma,2021-03-17,Extreme
By Education,High school diploma or GED,2021-03-17,High
By Education,Some college/Associate's degree,2021-03-17,Extreme
By Education,Bachelor's degree or higher,2021-03-17,Moderate
By State,Alabama,2021-03-17,High
By State,Alaska,2021-03-17,Extreme
By State,Arizona,2021-03-17,High
By State,Arkansas,2021-03-17,Extreme
By State,California,2021-03-17,Extreme
By State,Colorado,2021-03-17,High
By State,Connecticut,2021-03-17,High
By State,Delaware,2021-03-17,High
By State,District of Columbia,2021-03-17,High
By State,Florida,2021-03-17,High
By State,Georgia,2021-03-17,Extreme
By State,Hawaii,2021-03-17,Moderate
By State,Idaho,2021-03-17,High
By State,Illinois,2021-03-17,Extreme
By State,Indiana,2021-03-17,High
By State,Iowa,2021-03-17,High
By State,Kansas,2021-03-17,High
By State,Kentucky,2021-03-17,High
By State,Louisiana,2021-03-17,Extreme
By State,Maine,2021-03-17,High
By State,Maryland,2021-03-17,High
By State,Massachusetts,2021-03-17,High
By State,Michigan,2021-03-17,Extreme
By State,Minnesota,2021-03-17,High
By State,Mississippi,2021-03-17,Extreme
By State,Missouri,2021-03-17,High
By State,Montana,2021-03-17,High
By State,Nebraska,2021-03-17,High
By State,Nevada,2021-03-17,Extreme
By State,New Hampshire,2021-03-17,High
By State,New Jersey,2021-03-17,High
By State,New Mexico,2021-03-17,Extreme
By State,New York,2021-03-17,Extreme
By State,North Carolina,2021-03-17,High
By State,North Dakota,2021-03-17,Moderate
By State,Ohio,2021-03-17,High
By State,Oklahoma,2021-03-17,Extreme
By State,Oregon,2021-03-17,Extreme
By State,Pennsylvania,2021-03-17,Extreme
By State,Rhode Island,2021-03-17,Extreme
By State,South Carolina,2021-03-17,High
By State,South Dakota,2021-03-17,Moderate
By State,Tennessee,2021-03-17,Extreme
By State,Texas,2021-03-17,High
By State,Utah,2021-03-17,High
By State,Vermont,2021-03-17,High
By State,Virginia,2021-03-17,High
By State,Washington,2021-03-17,Extreme
By State,West Virginia,2021-03-17,Extreme
By State,Wisconsin,2021-03-17,High
By State,Wyoming,2021-03-17,Extreme
National Estimate,United States,2021-04-14,High
By Age,18 - 29 years,2021-04-14,Extreme
By Age,30 - 39 years,2021-04-14,Extreme
By Age,40 - 49 years,2021-04-14,High
By Age,50 - 59 years,2021-04-14,Moderate
By Age,60 - 69 years,2021-04-14,Mild
By Age,70 - 79 years,2021-04-14,Mild
By Age,80 years and above,2021-04-14,Mild
By Sex,Male,2021-04-14,Moderate
By Sex,Female,2021-04-14,Extreme
By Race/Hispanic ethnicity,Hispanic or Latino,2021-04-14,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-04-14,High
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-04-14,High
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-04-14,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-04-14,Extreme
By Education,Less than a high school diploma,2021-04-14,Extreme
By Education,High school diploma or GED,2021-04-14,High
By Education,Some college/Associate's degree,2021-04-14,Extreme
By Education,Bachelor's degree or higher,2021-04-14,Moderate
By Disability status,With disability,2021-04-14,Extreme
By Disability status,Without disability,2021-04-14,Moderate
By State,Alabama,2021-04-14,Extreme
By State,Alaska,2021-04-14,High
By State,Arizona,2021-04-14,High
By State,Arkansas,2021-04-14,High
By State,California,2021-04-14,Extreme
By State,Colorado,2021-04-14,High
By State,Connecticut,2021-04-14,High
By State,Delaware,2021-04-14,Mild
By State,District of Columbia,2021-04-14,Extreme
By State,Florida,2021-04-14,High
By State,Georgia,2021-04-14,High
By State,Hawaii,2021-04-14,Moderate
By State,Idaho,2021-04-14,High
By State,Illinois,2021-04-14,Moderate
By State,Indiana,2021-04-14,High
By State,Iowa,2021-04-14,Moderate
By State,Kansas,2021-04-14,Moderate
By State,Kentucky,2021-04-14,High
By State,Louisiana,2021-04-14,High
By State,Maine,2021-04-14,Moderate
By State,Maryland,2021-04-14,High
By State,Massachusetts,2021-04-14,High
By State,Michigan,2021-04-14,High
By State,Minnesota,2021-04-14,Mild
By State,Mississippi,2021-04-14,High
By State,Missouri,2021-04-14,High
By State,Montana,2021-04-14,Extreme
By State,Nebraska,2021-04-14,High
By State,Nevada,2021-04-14,High
By State,New Hampshire,2021-04-14,Moderate
By State,New Jersey,2021-04-14,High
By State,New Mexico,2021-04-14,High
By State,New York,2021-04-14,High
By State,North Carolina,2021-04-14,High
By State,North Dakota,2021-04-14,High
By State,Ohio,2021-04-14,Moderate
By State,Oklahoma,2021-04-14,Moderate
By State,Oregon,2021-04-14,High
By State,Pennsylvania,2021-04-14,High
By State,Rhode Island,2021-04-14,Moderate
By State,South Carolina,2021-04-14,High
By State,South Dakota,2021-04-14,Moderate
By State,Tennessee,2021-04-14,High
By State,Texas,2021-04-14,High
By State,Utah,2021-04-14,Moderate
By State,Vermont,2021-04-14,High
By State,Virginia,2021-04-14,Moderate
By State,Washington,2021-04-14,Moderate
By State,West Virginia,2021-04-14,Extreme
By State,Wisconsin,2021-04-14,Moderate
By State,Wyoming,2021-04-14,Mild
National Estimate,United States,2021-04-28,High
By Age,18 - 29 years,2021-04-28,Extreme
By Age,30 - 39 years,2021-04-28,Extreme
By Age,40 - 49 years,2021-04-28,High
By Age,50 - 59 years,2021-04-28,Moderate
By Age,60 - 69 years,2021-04-28,Mild
By Age,70 - 79 years,2021-04-28,Mild
By Age,80 years and above,2021-04-28,Mild
By Sex,Male,2021-04-28,Moderate
By Sex,Female,2021-04-28,High
By Race/Hispanic ethnicity,Hispanic or Latino,2021-04-28,High
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-04-28,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-04-28,High
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-04-28,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-04-28,Extreme
By Education,Less than a high school diploma,2021-04-28,Extreme
By Education,High school diploma or GED,2021-04-28,High
By Education,Some college/Associate's degree,2021-04-28,Extreme
By Education,Bachelor's degree or higher,2021-04-28,Mild
By Disability status,With disability,2021-04-28,Extreme
By Disability status,Without disability,2021-04-28,Moderate
By State,Alabama,2021-04-28,High
By State,Alaska,2021-04-28,High
By State,Arizona,2021-04-28,High
By State,Arkansas,2021-04-28,Extreme
By State,California,2021-04-28,High
By State,Colorado,2021-04-28,High
By State,Connecticut,2021-04-28,Moderate
By State,Delaware,2021-04-28,High
By State,District of Columbia,2021-04-28,High
By State,Florida,2021-04-28,High
By State,Georgia,2021-04-28,Moderate
By State,Hawaii,2021-04-28,Mild
By State,Idaho,2021-04-28,Moderate
By State,Illinois,2021-04-28,High
By State,Indiana,2021-04-28,Moderate
By State,Iowa,2021-04-28,Moderate
By State,Kansas,2021-04-28,Moderate
By State,Kentucky,2021-04-28,Extreme
By State,Louisiana,2021-04-28,High
By State,Maine,2021-04-28,Moderate
By State,Maryland,2021-04-28,Moderate
By State,Massachusetts,2021-04-28,Moderate
By State,Michigan,2021-04-28,High
By State,Minnesota,2021-04-28,Mild
By State,Mississippi,2021-04-28,Moderate
By State,Missouri,2021-04-28,High
By State,Montana,2021-04-28,Mild
By State,Nebraska,2021-04-28,High
By State,Nevada,2021-04-28,Moderate
By State,New Hampshire,2021-04-28,Moderate
By State,New Jersey,2021-04-28,Moderate
By State,New Mexico,2021-04-28,Moderate
By State,New York,2021-04-28,High
By State,North Carolina,2021-04-28,High
By State,North Dakota,2021-04-28,Moderate
By State,Ohio,2021-04-28,High
By State,Oklahoma,2021-04-28,High
By State,Oregon,2021-04-28,High
By State,Pennsylvania,2021-04-28,Moderate
By State,Rhode Island,2021-04-28,Mild
By State,South Carolina,2021-04-28,High
By State,South Dakota,2021-04-28,Mild
By State,Tennessee,2021-04-28,High
By State,Texas,2021-04-28,High
By State,Utah,2021-04-28,High
By State,Vermont,2021-04-28,Moderate
By State,Virginia,2021-04-28,Moderate
By State,Washington,2021-04-28,High
By State,West Virginia,2021-04-28,High
By State,Wisconsin,2021-04-28,Moderate
By State,Wyoming,2021-04-28,Moderate
National Estimate,United States,2021-05-12,High
By Age,18 - 29 years,2021-05-12,Extreme
By Age,30 - 39 years,2021-05-12,Extreme
By Age,40 - 49 years,2021-05-12,High
By Age,50 - 59 years,2021-05-12,Moderate
By Age,60 - 69 years,2021-05-12,Mild
By Age,70 - 79 years,2021-05-12,Mild
By Age,80 years and above,2021-05-12,Mild
By Sex,Male,2021-05-12,Moderate
By Sex,Female,2021-05-12,High
By Race/Hispanic ethnicity,Hispanic or Latino,2021-05-12,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-05-12,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-05-12,High
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-05-12,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-05-12,Extreme
By Education,Less than a high school diploma,2021-05-12,Extreme
By Education,High school diploma or GED,2021-05-12,High
By Education,Some college/Associate's degree,2021-05-12,High
By Education,Bachelor's degree or higher,2021-05-12,Mild
By Disability status,With disability,2021-05-12,Extreme
By Disability status,Without disability,2021-05-12,Moderate
By State,Alabama,2021-05-12,Moderate
By State,Alaska,2021-05-12,Moderate
By State,Arizona,2021-05-12,Moderate
By State,Arkansas,2021-05-12,High
By State,California,2021-05-12,High
By State,Colorado,2021-05-12,High
By State,Connecticut,2021-05-12,High
By State,Delaware,2021-05-12,Moderate
By State,District of Columbia,2021-05-12,High
By State,Florida,2021-05-12,Moderate
By State,Georgia,2021-05-12,High
By State,Hawaii,2021-05-12,Moderate
By State,Idaho,2021-05-12,Moderate
By State,Illinois,2021-05-12,Moderate
By State,Indiana,2021-05-12,Moderate
By State,Iowa,2021-05-12,Moderate
By State,Kansas,2021-05-12,Moderate
By State,Kentucky,2021-05-12,High
By State,Louisiana,2021-05-12,High
By State,Maine,2021-05-12,Moderate
By State,Maryland,2021-05-12,Moderate
By State,Massachusetts,2021-05-12,Moderate
By State,Michigan,2021-05-12,Moderate
By State,Minnesota,2021-05-12,Mild
By State,Mississippi,2021-05-12,High
By State,Missouri,2021-05-12,Moderate
By State,Montana,2021-05-12,Moderate
By State,Nebraska,2021-05-12,Moderate
By State,Nevada,2021-05-12,Moderate
By State,New Hampshire,2021-05-12,Moderate
By State,New Jersey,2021-05-12,Moderate
By State,New Mexico,2021-05-12,Moderate
By State,New York,2021-05-12,High
By State,North Carolina,2021-05-12,Moderate
By State,North Dakota,2021-05-12,Mild
By State,Ohio,2021-05-12,Moderate
By State,Oklahoma,2021-05-12,High
By State,Oregon,2021-05-12,High
By State,Pennsylvania,2021-05-12,High
By State,Rhode Island,2021-05-12,Moderate
By State,South Carolina,2021-05-12,High
By State,South Dakota,2021-05-12,Mild
By State,Tennessee,2021-05-12,High
By State,Texas,2021-05-12,High
By State,Utah,2021-05-12,Moderate
By State,Vermont,2021-05-12,Moderate
By State,Virginia,2021-05-12,High
By State,Washington,2021-05-12,High
By State,West Virginia,2021-05-12,High
By State,Wisconsin,2021-05-12,High
By State,Wyoming,2021-05-12,High
National Estimate,United States,2021-05-26,Moderate
By Age,18 - 29 years,2021-05-26,Extreme
By Age,30 - 39 years,2021-05-26,Extreme
By Age,40 - 49 years,2021-05-26,High
By Age,50 - 59 years,2021-05-26,Moderate
By Age,60 - 69 years,2021-05-26,Mild
