,Indicator,Group,Subgroup,Time_Period,Value,Risk
4806,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-01-20,42.2,Extreme
4807,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-01-20,36.5,Extreme
4808,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-01-20,36.3,Extreme
4809,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-01-20,29.5,Moderate
4810,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-01-20,22.5,Mild
4811,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-01-20,17.5,Mild
4875,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-01-20,56.9,Extreme
4876,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-01-20,47.2,Extreme
4877,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-01-20,41.7,Extreme
4878,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-01-20,41.3,Extreme
4879,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-01-20,34.2,High
4880,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-01-20,26.8,Moderate
4881,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-01-20,22.6,Mild
4945,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-02-03,43.9,Extreme
4946,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-02-03,31.2,High
4947,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-02-03,28.1,Moderate
4948,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-02-03,26.0,Moderate
4949,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-02-03,23.0,Mild
4950,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-02-03,16.2,Mild
4951,Symptoms of Depressive Disorder,By Age,80 years and above,2021-02-03,16.0,Mild
5015,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-02-03,47.5,Extreme
5016,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-02-03,39.6,Extreme
5017,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-02-03,35.6,Extreme
5018,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-02-03,31.6,High
5019,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-02-03,27.7,Moderate
5020,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-02-03,19.3,Mild
5021,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-02-03,19.0,Mild
5085,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-02-03,56.3,Extreme
5086,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-02-03,44.3,Extreme
5087,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-02-03,40.7,Extreme
5088,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-02-03,36.9,Extreme
5089,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-02-03,32.6,High
5090,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-02-03,24.7,Mild
5091,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-02-03,23.3,Mild
5155,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-02-17,43.2,Extreme
5156,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-02-17,31.7,High
5157,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-02-17,27.1,Moderate
5158,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-02-17,27.1,Moderate
5159,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-02-17,21.1,Mild
5160,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-02-17,16.9,Mild
5161,Symptoms of Depressive Disorder,By Age,80 years and above,2021-02-17,14.9,Mild
5225,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-02-17,47.4,Extreme
5226,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-02-17,38.9,Extreme
5227,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-02-17,35.6,Extreme
5228,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-02-17,32.3,High
5229,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-02-17,25.8,Moderate
5230,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-02-17,19.6,Mild
5231,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-02-17,18.1,Mild
5295,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-02-17,56.1,Extreme
5296,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-02-17,45.0,Extreme
5297,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-02-17,39.8,Extreme
5298,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-02-17,37.2,Extreme
5299,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-02-17,30.4,High
5300,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-02-17,24.3,Mild
5301,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-02-17,22.4,Mild
5365,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-03-03,41.2,Extreme
5366,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-03-03,30.7,High
5367,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-03-03,26.5,Moderate
5368,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-03-03,23.7,Mild
5369,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-03-03,19.3,Mild
5370,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-03-03,15.4,Mild
5371,Symptoms of Depressive Disorder,By Age,80 years and above,2021-03-03,18.0,Mild
5435,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-03-03,43.7,Extreme
5436,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-03-03,38.4,Extreme
5437,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-03-03,33.2,High
5438,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-03-03,30.5,High
5439,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-03-03,23.2,Mild
5440,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-03-03,17.2,Mild
5441,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-03-03,19.7,Mild
5505,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-03-03,53.1,Extreme
5506,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-03-03,44.1,Extreme
5507,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-03-03,37.8,Extreme
5508,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-03-03,34.7,High
5509,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-03-03,28.0,Moderate
5510,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-03-03,21.7,Mild
5511,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-03-03,23.5,Mild
5575,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-03-17,38.4,Extreme
5576,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-03-17,29.0,Moderate
5577,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-03-17,25.6,Moderate
5578,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-03-17,22.1,Mild
5579,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-03-17,18.4,Mild
5580,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-03-17,13.8,Mild
5581,Symptoms of Depressive Disorder,By Age,80 years and above,2021-03-17,17.2,Mild
5645,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-03-17,42.7,Extreme
5646,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-03-17,36.8,Extreme
5647,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-03-17,33.6,High
5648,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-03-17,27.3,Moderate
5649,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-03-17,22.6,Mild
5650,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-03-17,16.3,Mild
5651,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-03-17,17.9,Mild
5715,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-03-17,50.7,Extreme
5716,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-03-17,41.6,Extreme
5717,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-03-17,37.9,Extreme
5718,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-03-17,31.6,High
5719,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-03-17,27.0,Moderate
5720,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-03-17,20.9,Mild
5721,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-03-17,22.5,Mild
5804,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-04-14,41.7,Extreme
5805,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-04-14,26.7,Moderate
5806,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-04-14,23.5,Mild
5807,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-04-14,19.9,Mild
5808,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-04-14,16.2,Mild
5809,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-04-14,11.9,Mild
5810,Symptoms of Depressive Disorder,By Age,80 years and above,2021-04-14,13.5,Mild
5895,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-04-14,45.0,Extreme
5896,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-04-14,33.5,High
5897,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-04-14,30.4,High
5898,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-04-14,24.3,Mild
5899,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-04-14,18.6,Mild
5900,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-04-14,14.3,Mild
5901,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-04-14,13.2,Mild
5986,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-04-14,52.9,Extreme
5987,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-04-14,38.4,Extreme
5988,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-04-14,34.9,High
5989,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-04-14,28.8,Moderate
5990,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-04-14,22.9,Mild
5991,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-04-14,17.9,Mild
5992,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-04-14,17.9,Mild
6058,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-04-28,36.9,Extreme
6059,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-04-28,26.1,Moderate
6060,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-04-28,21.4,Mild
6061,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-04-28,20.6,Mild
6062,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-04-28,16.3,Mild
6063,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-04-28,11.7,Mild
6064,Symptoms of Depressive Disorder,By Age,80 years and above,2021-04-28,12.6,Mild
6130,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-04-28,43.0,Extreme
6131,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-04-28,31.9,High
6132,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-04-28,27.6,Moderate
6133,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-04-28,25.6,Moderate
6134,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-04-28,18.7,Mild
6135,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-04-28,13.0,Mild
6136,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-04-28,16.0,Mild
6202,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-04-28,49.2,Extreme
6203,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-04-28,36.5,Extreme
6204,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-04-28,31.4,High
6205,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-04-28,29.6,Moderate
6206,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-04-28,22.5,Mild
6207,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-04-28,16.5,Mild
6208,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-04-28,18.6,Mild
6274,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-05-12,34.6,High
6275,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-05-12,25.8,Moderate
6276,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-05-12,22.7,Mild
6277,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-05-12,19.6,Mild
6278,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-05-12,15.7,Mild
6279,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-05-12,12.1,Mild
6280,Symptoms of Depressive Disorder,By Age,80 years and above,2021-05-12,10.2,Mild
6346,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-05-12,39.5,Extreme
6347,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-05-12,32.8,High
6348,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-05-12,27.6,Moderate
6349,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-05-12,24.2,Mild
6350,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-05-12,18.4,Mild
6351,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-05-12,12.1,Mild
6352,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-05-12,11.8,Mild
6418,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-05-12,45.9,Extreme
6419,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-05-12,37.4,Extreme
6420,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-05-12,32.3,High
6421,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-05-12,28.0,Moderate
6422,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-05-12,21.9,Mild
6423,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-05-12,16.2,Mild
6424,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-05-12,14.0,Mild
6490,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-05-26,33.4,High
6491,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-05-26,25.2,Moderate
6492,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-05-26,22.6,Mild
6493,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-05-26,19.4,Mild
6494,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-05-26,14.7,Mild
6495,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-05-26,11.4,Mild
6496,Symptoms of Depressive Disorder,By Age,80 years and above,2021-05-26,8.2,Mild
6562,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-05-26,38.1,Extreme
6563,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-05-26,31.4,High
6564,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-05-26,28.6,Moderate
6565,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-05-26,24.5,Mild
6566,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-05-26,17.5,Mild
6567,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-05-26,12.8,Mild
6568,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-05-26,11.0,Mild
6634,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-05-26,43.9,Extreme
6635,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-05-26,36.1,Extreme
6636,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-05-26,32.9,High
6637,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-05-26,27.8,Moderate
6638,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-05-26,21.5,Mild
6639,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-05-26,16.3,Mild
6640,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-05-26,13.4,Mild
6706,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-06-09,36.0,Extreme
6707,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-06-09,25.4,Moderate
6708,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-06-09,23.2,Mild
6709,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-06-09,19.5,Mild
6710,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-06-09,16.0,Mild
6711,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-06-09,10.7,Mild
6712,Symptoms of Depressive Disorder,By Age,80 years and above,2021-06-09,6.4,Mild
6778,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-06-09,38.6,Extreme
6779,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-06-09,32.3,High
6780,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-06-09,29.6,Moderate
6781,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-06-09,24.9,Moderate
6782,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-06-09,18.9,Mild
6783,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-06-09,13.1,Mild
6784,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-06-09,7.6,Mild
6850,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-06-09,45.5,Extreme
6851,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-06-09,37.1,Extreme
6852,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-06-09,33.4,High
6853,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-06-09,28.8,Moderate
6854,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-06-09,22.7,Mild
6855,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-06-09,16.3,Mild
6856,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-06-09,9.7,Mild
6922,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-06-23,37.3,Extreme
6923,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-06-23,24.4,Mild
6924,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-06-23,21.8,Mild
6925,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-06-23,18.9,Mild
6926,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-06-23,14.2,Mild
6927,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-06-23,10.3,Mild
6928,Symptoms of Depressive Disorder,By Age,80 years and above,2021-06-23,11.4,Mild
6994,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-06-23,39.3,Extreme
6995,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-06-23,30.2,High
6996,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-06-23,27.7,Moderate
6997,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-06-23,22.9,Mild
6998,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-06-23,16.7,Mild
6999,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-06-23,11.4,Mild
7000,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-06-23,11.2,Mild
7066,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-06-23,46.6,Extreme
7067,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-06-23,34.8,High
7068,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-06-23,31.8,High
7069,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-06-23,27.1,Moderate
7070,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-06-23,20.4,Mild
7071,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-06-23,14.9,Mild
7072,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-06-23,14.8,Mild
7159,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-07-21,38.6,Extreme
7160,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-07-21,26.7,Moderate
7161,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-07-21,22.5,Mild
7162,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-07-21,18.6,Mild
7163,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-07-21,15.3,Mild
7164,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-07-21,11.1,Mild
7165,Symptoms of Depressive Disorder,By Age,80 years and above,2021-07-21,13.2,Mild
7258,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-07-21,44.8,Extreme
7259,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-07-21,34.0,High
7260,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-07-21,29.2,Moderate
7261,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-07-21,23.7,Mild
7262,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-07-21,18.0,Mild
7263,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-07-21,11.5,Mild
7264,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-07-21,13.9,Mild
7357,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-07-21,51.3,Extreme
7358,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-07-21,38.6,Extreme
7359,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-07-21,32.8,High
7360,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-07-21,27.1,Moderate
7361,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-07-21,22.1,Mild
7362,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-07-21,15.4,Mild
7363,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-07-21,17.1,Mild
7435,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-08-04,33.2,High
7436,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-08-04,26.7,Moderate
7437,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-08-04,22.8,Mild
7438,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-08-04,19.6,Mild
7439,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-08-04,14.6,Mild
7440,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-08-04,10.3,Mild
7441,Symptoms of Depressive Disorder,By Age,80 years and above,2021-08-04,11.4,Mild
7513,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-08-04,39.4,Extreme
7514,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-08-04,36.3,Extreme
7515,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-08-04,28.3,Moderate
7516,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-08-04,24.7,Mild
7517,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-08-04,17.3,Mild
7518,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-08-04,12.1,Mild
7519,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-08-04,12.8,Mild
7591,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-08-04,45.8,Extreme
