Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk,year
Symptoms of Anxiety Disorder,By Disability status,1,2021-09-29,55.5,Extreme,2021
Symptoms of Anxiety Disorder,By Disability status,0,2021-09-29,22.5,Mild,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,1,2021-09-29,63.3,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,0,2021-09-29,26.1,Moderate,2021
Symptoms of Depressive Disorder,By Disability status,1,2021-12-01,50.1,Extreme,2021
Symptoms of Depressive Disorder,By Disability status,0,2021-12-01,16.8,Mild,2021
Symptoms of Anxiety Disorder,By Disability status,1,2021-12-01,53.7,Extreme,2021
Symptoms of Anxiety Disorder,By Disability status,0,2021-12-01,22.0,Mild,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,1,2021-12-01,60.3,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,0,2021-12-01,25.9,Moderate,2021
