Group,Subgroup,Time_Period,Value,Risk
By State,Oregon,2021-01-20,42.0,Extreme
By State,Pennsylvania,2021-01-20,39.8,High
By State,Rhode Island,2021-01-20,41.5,Extreme
By State,South Carolina,2021-01-20,37.6,High
By State,South Dakota,2021-01-20,29.1,Mild
By State,Tennessee,2021-01-20,43.5,Extreme
By State,Texas,2021-01-20,43.4,Extreme
By State,Utah,2021-01-20,40.9,Extreme
By State,Vermont,2021-01-20,36.2,High
By State,Virginia,2021-01-20,36.9,High
By State,Washington,2021-01-20,46.3,Extreme
By State,West Virginia,2021-01-20,41.8,Extreme
By State,Wisconsin,2021-01-20,36.4,High
By State,Wyoming,2021-01-20,40.2,Extreme
By Age,18 - 29 years,2021-02-03,56.3,Extreme
By Age,30 - 39 years,2021-02-03,44.3,Extreme
By Age,40 - 49 years,2021-02-03,40.7,Extreme
By Age,50 - 59 years,2021-02-03,36.9,High
By Age,60 - 69 years,2021-02-03,32.6,Moderate
By Age,70 - 79 years,2021-02-03,24.7,Mild
By Age,80 years and above,2021-02-03,23.3,Mild
By Sex,Male,2021-02-03,35.5,High
By Sex,Female,2021-02-03,43.0,Extreme
By Race/Hispanic ethnicity,Hispanic or Latino,2021-02-03,43.8,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-02-03,37.7,High
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-02-03,41.9,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-02-03,36.2,High
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-02-03,44.1,Extreme
By Education,Less than a high school diploma,2021-02-03,48.3,Extreme
By Education,High school diploma or GED,2021-02-03,39.0,High
By Education,Some college/Associate's degree,2021-02-03,43.2,Extreme
By Education,Bachelor's degree or higher,2021-02-03,33.9,Moderate
By State,Alabama,2021-02-03,40.1,Extreme
By State,Alaska,2021-02-03,41.3,Extreme
By State,Arizona,2021-02-03,41.7,Extreme
By State,Arkansas,2021-02-03,43.4,Extreme
By State,California,2021-02-03,42.1,Extreme
By State,Colorado,2021-02-03,36.3,High
By State,Connecticut,2021-02-03,40.2,Extreme
By State,Delaware,2021-02-03,37.5,High
By State,District of Columbia,2021-02-03,38.6,High
By State,Florida,2021-02-03,38.9,High
By State,Georgia,2021-02-03,38.7,High
By State,Hawaii,2021-02-03,33.6,Moderate
By State,Idaho,2021-02-03,36.9,High
By State,Illinois,2021-02-03,37.5,High
By State,Indiana,2021-02-03,37.5,High
By State,Iowa,2021-02-03,35.5,High
By State,Kansas,2021-02-03,34.5,Moderate
By State,Kentucky,2021-02-03,39.0,High
By State,Louisiana,2021-02-03,42.7,Extreme
By State,Maine,2021-02-03,38.2,High
By State,Maryland,2021-02-03,37.3,High
By State,Massachusetts,2021-02-03,39.7,High
By State,Michigan,2021-02-03,39.1,High
By State,Minnesota,2021-02-03,32.3,Moderate
By State,Mississippi,2021-02-03,43.3,Extreme
By State,Missouri,2021-02-03,39.9,High
By State,Montana,2021-02-03,32.1,Moderate
By State,Nebraska,2021-02-03,35.9,High
By State,Nevada,2021-02-03,44.0,Extreme
By State,New Hampshire,2021-02-03,32.6,Moderate
By State,New Jersey,2021-02-03,38.8,High
By State,New Mexico,2021-02-03,42.9,Extreme
By State,New York,2021-02-03,41.8,Extreme
By State,North Carolina,2021-02-03,38.9,High
By State,North Dakota,2021-02-03,35.5,High
By State,Ohio,2021-02-03,36.4,High
By State,Oklahoma,2021-02-03,38.7,High
By State,Oregon,2021-02-03,45.1,Extreme
By State,Pennsylvania,2021-02-03,35.4,High
By State,Rhode Island,2021-02-03,38.1,High
By State,South Carolina,2021-02-03,38.8,High
By State,South Dakota,2021-02-03,30.9,Moderate
By State,Tennessee,2021-02-03,40.6,Extreme
By State,Texas,2021-02-03,39.9,High
By State,Utah,2021-02-03,40.2,Extreme
By State,Vermont,2021-02-03,38.7,High
By State,Virginia,2021-02-03,38.7,High
By State,Washington,2021-02-03,40.9,Extreme
By State,West Virginia,2021-02-03,41.8,Extreme
By State,Wisconsin,2021-02-03,36.7,High
By State,Wyoming,2021-02-03,29.2,Mild
By Age,18 - 29 years,2021-02-17,56.1,Extreme
By Age,30 - 39 years,2021-02-17,45.0,Extreme
By Age,40 - 49 years,2021-02-17,39.8,High
By Age,50 - 59 years,2021-02-17,37.2,High
By Age,60 - 69 years,2021-02-17,30.4,Moderate
By Age,70 - 79 years,2021-02-17,24.3,Mild
By Age,80 years and above,2021-02-17,22.4,Mild
By Sex,Male,2021-02-17,35.5,High
By Sex,Female,2021-02-17,42.0,Extreme
By Race/Hispanic ethnicity,Hispanic or Latino,2021-02-17,42.9,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-02-17,37.4,High
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-02-17,41.5,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-02-17,33.8,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-02-17,48.6,Extreme
By Education,Less than a high school diploma,2021-02-17,46.0,Extreme
By Education,High school diploma or GED,2021-02-17,39.7,High
By Education,Some college/Associate's degree,2021-02-17,43.5,Extreme
By Education,Bachelor's degree or higher,2021-02-17,32.3,Moderate
By State,Alabama,2021-02-17,36.5,High
By State,Alaska,2021-02-17,35.6,High
By State,Arizona,2021-02-17,38.9,High
By State,Arkansas,2021-02-17,39.7,High
By State,California,2021-02-17,41.5,Extreme
By State,Colorado,2021-02-17,37.6,High
By State,Connecticut,2021-02-17,40.6,Extreme
By State,Delaware,2021-02-17,33.7,Moderate
By State,District of Columbia,2021-02-17,36.4,High
By State,Florida,2021-02-17,38.5,High
By State,Georgia,2021-02-17,40.7,Extreme
By State,Hawaii,2021-02-17,34.6,Moderate
By State,Idaho,2021-02-17,35.9,High
By State,Illinois,2021-02-17,38.2,High
By State,Indiana,2021-02-17,38.8,High
By State,Iowa,2021-02-17,34.3,Moderate
By State,Kansas,2021-02-17,31.5,Moderate
By State,Kentucky,2021-02-17,45.9,Extreme
By State,Louisiana,2021-02-17,42.5,Extreme
By State,Maine,2021-02-17,36.8,High
By State,Maryland,2021-02-17,36.8,High
By State,Massachusetts,2021-02-17,39.7,High
By State,Michigan,2021-02-17,38.3,High
By State,Minnesota,2021-02-17,27.8,Mild
By State,Mississippi,2021-02-17,45.8,Extreme
By State,Missouri,2021-02-17,37.8,High
By State,Montana,2021-02-17,31.1,Moderate
By State,Nebraska,2021-02-17,25.5,Mild
By State,Nevada,2021-02-17,46.5,Extreme
By State,New Hampshire,2021-02-17,34.4,Moderate
By State,New Jersey,2021-02-17,38.0,High
By State,New Mexico,2021-02-17,42.5,Extreme
By State,New York,2021-02-17,38.7,High
By State,North Carolina,2021-02-17,38.8,High
By State,North Dakota,2021-02-17,30.1,Moderate
By State,Ohio,2021-02-17,38.3,High
By State,Oklahoma,2021-02-17,42.2,Extreme
By State,Oregon,2021-02-17,41.2,Extreme
By State,Pennsylvania,2021-02-17,38.3,High
By State,Rhode Island,2021-02-17,38.5,High
By State,South Carolina,2021-02-17,36.6,High
By State,South Dakota,2021-02-17,31.3,Moderate
By State,Tennessee,2021-02-17,43.5,Extreme
By State,Texas,2021-02-17,40.9,Extreme
By State,Utah,2021-02-17,36.8,High
By State,Vermont,2021-02-17,37.2,High
By State,Virginia,2021-02-17,37.0,High
By State,Washington,2021-02-17,40.1,Extreme
By State,West Virginia,2021-02-17,39.1,High
By State,Wisconsin,2021-02-17,30.4,Moderate
By State,Wyoming,2021-02-17,38.1,High
By Age,18 - 29 years,2021-03-03,53.1,Extreme
By Age,30 - 39 years,2021-03-03,44.1,Extreme
By Age,40 - 49 years,2021-03-03,37.8,High
By Age,50 - 59 years,2021-03-03,34.7,Moderate
By Age,60 - 69 years,2021-03-03,28.0,Mild
By Age,70 - 79 years,2021-03-03,21.7,Mild
By Age,80 years and above,2021-03-03,23.5,Mild
By Sex,Male,2021-03-03,33.1,Moderate
By Sex,Female,2021-03-03,40.5,Extreme
By Race/Hispanic ethnicity,Hispanic or Latino,2021-03-03,39.6,High
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-03-03,35.9,High
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-03-03,38.2,High
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-03-03,30.0,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-03-03,47.5,Extreme
By Education,Less than a high school diploma,2021-03-03,42.0,Extreme
By Education,High school diploma or GED,2021-03-03,37.1,High
By Education,Some college/Associate's degree,2021-03-03,41.1,Extreme
By Education,Bachelor's degree or higher,2021-03-03,31.7,Moderate
By State,Alabama,2021-03-03,38.1,High
By State,Alaska,2021-03-03,35.6,High
By State,Arizona,2021-03-03,38.0,High
By State,Arkansas,2021-03-03,47.2,Extreme
By State,California,2021-03-03,39.7,High
By State,Colorado,2021-03-03,42.3,Extreme
By State,Connecticut,2021-03-03,33.3,Moderate
By State,Delaware,2021-03-03,32.4,Moderate
By State,District of Columbia,2021-03-03,38.1,High
By State,Florida,2021-03-03,38.7,High
By State,Georgia,2021-03-03,33.2,Moderate
By State,Hawaii,2021-03-03,30.6,Moderate
By State,Idaho,2021-03-03,34.9,Moderate
By State,Illinois,2021-03-03,35.4,High
By State,Indiana,2021-03-03,32.8,Moderate
By State,Iowa,2021-03-03,33.3,Moderate
By State,Kansas,2021-03-03,37.7,High
By State,Kentucky,2021-03-03,39.7,High
By State,Louisiana,2021-03-03,41.0,Extreme
By State,Maine,2021-03-03,41.5,Extreme
By State,Maryland,2021-03-03,36.8,High
By State,Massachusetts,2021-03-03,34.2,Moderate
By State,Michigan,2021-03-03,36.6,High
By State,Minnesota,2021-03-03,32.1,Moderate
By State,Mississippi,2021-03-03,37.0,High
By State,Missouri,2021-03-03,37.6,High
By State,Montana,2021-03-03,30.8,Moderate
By State,Nebraska,2021-03-03,31.4,Moderate
By State,Nevada,2021-03-03,33.7,Moderate
By State,New Hampshire,2021-03-03,35.7,High
By State,New Jersey,2021-03-03,36.0,High
By State,New Mexico,2021-03-03,39.8,High
By State,New York,2021-03-03,36.6,High
By State,North Carolina,2021-03-03,35.8,High
By State,North Dakota,2021-03-03,26.8,Mild
By State,Ohio,2021-03-03,41.2,Extreme
By State,Oklahoma,2021-03-03,37.5,High
By State,Oregon,2021-03-03,42.5,Extreme
By State,Pennsylvania,2021-03-03,38.9,High
By State,Rhode Island,2021-03-03,39.1,High
By State,South Carolina,2021-03-03,30.5,Moderate
By State,South Dakota,2021-03-03,25.9,Mild
By State,Tennessee,2021-03-03,34.5,Moderate
By State,Texas,2021-03-03,35.7,High
By State,Utah,2021-03-03,32.6,Moderate
By State,Vermont,2021-03-03,35.5,High
By State,Virginia,2021-03-03,34.3,Moderate
By State,Washington,2021-03-03,37.3,High
By State,West Virginia,2021-03-03,43.5,Extreme
By State,Wisconsin,2021-03-03,31.7,Moderate
By State,Wyoming,2021-03-03,36.1,High
By Age,18 - 29 years,2021-03-17,50.7,Extreme
By Age,30 - 39 years,2021-03-17,41.6,Extreme
By Age,40 - 49 years,2021-03-17,37.9,High
By Age,50 - 59 years,2021-03-17,31.6,Moderate
By Age,60 - 69 years,2021-03-17,27.0,Mild
By Age,70 - 79 years,2021-03-17,20.9,Mild
By Age,80 years and above,2021-03-17,22.5,Mild
By Sex,Male,2021-03-17,31.7,Moderate
By Sex,Female,2021-03-17,38.2,High
By Race/Hispanic ethnicity,Hispanic or Latino,2021-03-17,40.0,High
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-03-17,33.2,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-03-17,37.9,High
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-03-17,33.4,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-03-17,43.1,Extreme
By Education,Less than a high school diploma,2021-03-17,42.8,Extreme
By Education,High school diploma or GED,2021-03-17,34.9,Moderate
By Education,Some college/Associate's degree,2021-03-17,39.7,High
By Education,Bachelor's degree or higher,2021-03-17,29.3,Mild
By State,Alabama,2021-03-17,34.5,Moderate
By State,Alaska,2021-03-17,37.8,High
By State,Arizona,2021-03-17,35.1,High
By State,Arkansas,2021-03-17,37.5,High
By State,California,2021-03-17,39.3,High
By State,Colorado,2021-03-17,34.8,Moderate
By State,Connecticut,2021-03-17,31.8,Moderate
By State,Delaware,2021-03-17,30.6,Moderate
By State,District of Columbia,2021-03-17,33.8,Moderate
By State,Florida,2021-03-17,34.7,Moderate
By State,Georgia,2021-03-17,37.9,High
By State,Hawaii,2021-03-17,28.4,Mild
By State,Idaho,2021-03-17,31.1,Moderate
By State,Illinois,2021-03-17,36.4,High
By State,Indiana,2021-03-17,32.0,Moderate
By State,Iowa,2021-03-17,30.1,Moderate
By State,Kansas,2021-03-17,32.1,Moderate
By State,Kentucky,2021-03-17,33.5,Moderate
By State,Louisiana,2021-03-17,37.1,High
By State,Maine,2021-03-17,34.8,Moderate
By State,Maryland,2021-03-17,31.1,Moderate
By State,Massachusetts,2021-03-17,30.3,Moderate
By State,Michigan,2021-03-17,35.4,High
By State,Minnesota,2021-03-17,30.4,Moderate
By State,Mississippi,2021-03-17,42.6,Extreme
By State,Missouri,2021-03-17,34.7,Moderate
By State,Montana,2021-03-17,32.7,Moderate
By State,Nebraska,2021-03-17,32.2,Moderate
By State,Nevada,2021-03-17,41.7,Extreme
By State,New Hampshire,2021-03-17,32.4,Moderate
By State,New Jersey,2021-03-17,35.0,Moderate
By State,New Mexico,2021-03-17,38.3,High
By State,New York,2021-03-17,36.1,High
By State,North Carolina,2021-03-17,32.5,Moderate
By State,North Dakota,2021-03-17,26.7,Mild
By State,Ohio,2021-03-17,33.4,Moderate
By State,Oklahoma,2021-03-17,39.3,High
By State,Oregon,2021-03-17,35.5,High
By State,Pennsylvania,2021-03-17,35.3,High
By State,Rhode Island,2021-03-17,36.9,High
By State,South Carolina,2021-03-17,33.1,Moderate
By State,South Dakota,2021-03-17,24.9,Mild
By State,Tennessee,2021-03-17,36.2,High
By State,Texas,2021-03-17,35.0,Moderate
By State,Utah,2021-03-17,31.5,Moderate
By State,Vermont,2021-03-17,32.1,Moderate
By State,Virginia,2021-03-17,31.4,Moderate
By State,Washington,2021-03-17,35.6,High
By State,West Virginia,2021-03-17,41.0,Extreme
By State,Wisconsin,2021-03-17,32.3,Moderate
By State,Wyoming,2021-03-17,35.6,High
By Age,18 - 29 years,2021-04-14,52.9,Extreme
By Age,30 - 39 years,2021-04-14,38.4,High
By Age,40 - 49 years,2021-04-14,34.9,Moderate
By Age,50 - 59 years,2021-04-14,28.8,Mild
By Age,60 - 69 years,2021-04-14,22.9,Mild
By Age,70 - 79 years,2021-04-14,17.9,Mild
By Age,80 years and above,2021-04-14,17.9,Mild
By Sex,Male,2021-04-14,27.9,Mild
By Sex,Female,2021-04-14,36.3,High
By Race/Hispanic ethnicity,Hispanic or Latino,2021-04-14,38.6,High
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-04-14,30.3,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-04-14,35.0,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-04-14,25.5,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-04-14,41.7,Extreme
By Education,Less than a high school diploma,2021-04-14,43.8,Extreme
By Education,High school diploma or GED,2021-04-14,33.2,Moderate
By Education,Some college/Associate's degree,2021-04-14,36.0,High
By Education,Bachelor's degree or higher,2021-04-14,25.7,Mild
By State,Alabama,2021-04-14,35.5,High
By State,Alaska,2021-04-14,31.8,Moderate
By State,Arizona,2021-04-14,34.4,Moderate
By State,Arkansas,2021-04-14,34.8,Moderate
By State,California,2021-04-14,37.3,High
By State,Colorado,2021-04-14,31.5,Moderate
By State,Connecticut,2021-04-14,31.5,Moderate
By State,Delaware,2021-04-14,24.7,Mild
By State,District of Columbia,2021-04-14,37.4,High
By State,Florida,2021-04-14,35.0,Moderate
By State,Georgia,2021-04-14,33.6,Moderate
By State,Hawaii,2021-04-14,28.5,Mild
By State,Idaho,2021-04-14,30.8,Moderate
By State,Illinois,2021-04-14,29.7,Mild
By State,Indiana,2021-04-14,33.2,Moderate
By State,Iowa,2021-04-14,29.4,Mild
By State,Kansas,2021-04-14,28.7,Mild
By State,Kentucky,2021-04-14,34.8,Moderate
By State,Louisiana,2021-04-14,34.4,Moderate
By State,Maine,2021-04-14,25.7,Mild
By State,Maryland,2021-04-14,32.5,Moderate
By State,Massachusetts,2021-04-14,31.6,Moderate
By State,Michigan,2021-04-14,33.5,Moderate
By State,Minnesota,2021-04-14,24.7,Mild
By State,Mississippi,2021-04-14,30.9,Moderate
By State,Missouri,2021-04-14,32.7,Moderate
By State,Montana,2021-04-14,36.1,High
By State,Nebraska,2021-04-14,31.2,Moderate
By State,Nevada,2021-04-14,32.6,Moderate
By State,New Hampshire,2021-04-14,27.3,Mild
By State,New Jersey,2021-04-14,32.7,Moderate
By State,New Mexico,2021-04-14,30.8,Moderate
By State,New York,2021-04-14,31.2,Moderate
By State,North Carolina,2021-04-14,31.2,Moderate
By State,North Dakota,2021-04-14,31.4,Moderate
By State,Ohio,2021-04-14,27.1,Mild
By State,Oklahoma,2021-04-14,29.1,Mild
By State,Oregon,2021-04-14,33.3,Moderate
By State,Pennsylvania,2021-04-14,30.2,Moderate
By State,Rhode Island,2021-04-14,26.5,Mild
By State,South Carolina,2021-04-14,29.8,Mild
By State,South Dakota,2021-04-14,26.6,Mild
By State,Tennessee,2021-04-14,31.9,Moderate
By State,Texas,2021-04-14,34.6,Moderate
By State,Utah,2021-04-14,25.1,Mild
By State,Vermont,2021-04-14,31.4,Moderate
By State,Virginia,2021-04-14,25.8,Mild
By State,Washington,2021-04-14,29.7,Mild
By State,West Virginia,2021-04-14,42.1,Extreme
By State,Wisconsin,2021-04-14,26.0,Mild
By State,Wyoming,2021-04-14,22.0,Mild
By Age,18 - 29 years,2021-04-28,49.2,Extreme
By Age,30 - 39 years,2021-04-28,36.5,High
By Age,40 - 49 years,2021-04-28,31.4,Moderate
By Age,50 - 59 years,2021-04-28,29.6,Mild
By Age,60 - 69 years,2021-04-28,22.5,Mild
By Age,70 - 79 years,2021-04-28,16.5,Mild
By Age,80 years and above,2021-04-28,18.6,Mild
By Sex,Male,2021-04-28,26.9,Mild
By Sex,Female,2021-04-28,34.3,Moderate
By Race/Hispanic ethnicity,Hispanic or Latino,2021-04-28,34.5,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-04-28,29.6,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-04-28,33.0,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-04-28,22.5,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-04-28,41.8,Extreme
By Education,Less than a high school diploma,2021-04-28,40.5,Extreme
By Education,High school diploma or GED,2021-04-28,30.3,Moderate
By Education,Some college/Associate's degree,2021-04-28,35.6,High
By Education,Bachelor's degree or higher,2021-04-28,24.7,Mild
By State,Alabama,2021-04-28,33.3,Moderate
By State,Alaska,2021-04-28,33.8,Moderate
By State,Arizona,2021-04-28,29.9,Mild
By State,Arkansas,2021-04-28,35.5,High
By State,California,2021-04-28,33.0,Moderate
By State,Colorado,2021-04-28,30.8,Moderate
By State,Connecticut,2021-04-28,29.4,Mild
By State,Delaware,2021-04-28,30.8,Moderate
By State,District of Columbia,2021-04-28,30.6,Moderate
By State,Florida,2021-04-28,32.9,Moderate
By State,Georgia,2021-04-28,29.5,Mild
By State,Hawaii,2021-04-28,23.2,Mild
By State,Idaho,2021-04-28,25.8,Mild
By State,Illinois,2021-04-28,29.8,Mild
By State,Indiana,2021-04-28,27.4,Mild
By State,Iowa,2021-04-28,27.7,Mild
By State,Kansas,2021-04-28,29.7,Mild
By State,Kentucky,2021-04-28,35.2,High
By State,Louisiana,2021-04-28,34.3,Moderate
By State,Maine,2021-04-28,27.3,Mild
By State,Maryland,2021-04-28,27.7,Mild
By State,Massachusetts,2021-04-28,29.0,Mild
By State,Michigan,2021-04-28,31.0,Moderate
By State,Minnesota,2021-04-28,24.1,Mild
By State,Mississippi,2021-04-28,25.7,Mild
By State,Missouri,2021-04-28,30.9,Moderate
By State,Montana,2021-04-28,24.1,Mild
By State,Nebraska,2021-04-28,31.6,Moderate
By State,Nevada,2021-04-28,29.2,Mild
By State,New Hampshire,2021-04-28,26.3,Mild
By State,New Jersey,2021-04-28,27.8,Mild
By State,New Mexico,2021-04-28,28.4,Mild
By State,New York,2021-04-28,31.6,Moderate
By State,North Carolina,2021-04-28,33.5,Moderate
By State,North Dakota,2021-04-28,24.8,Mild
By State,Ohio,2021-04-28,31.8,Moderate
By State,Oklahoma,2021-04-28,34.3,Moderate
By State,Oregon,2021-04-28,32.4,Moderate
By State,Pennsylvania,2021-04-28,27.3,Mild
By State,Rhode Island,2021-04-28,24.5,Mild
By State,South Carolina,2021-04-28,30.0,Mild
By State,South Dakota,2021-04-28,24.4,Mild
By State,Tennessee,2021-04-28,29.8,Mild
By State,Texas,2021-04-28,33.1,Moderate
By State,Utah,2021-04-28,30.1,Moderate
