,Indicator,Group,State,Subgroup,Time Period Start Date,Value,year
4540,Symptoms of Depressive Disorder,By State,Ohio,Ohio,2021-01-06,31.1,2021
4541,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,2021-01-06,29.7,2021
4542,Symptoms of Depressive Disorder,By State,Oregon,Oregon,2021-01-06,30.1,2021
4543,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,2021-01-06,30.4,2021
4544,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,2021-01-06,34.9,2021
4545,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,2021-01-06,29.2,2021
4546,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,2021-01-06,26.2,2021
4547,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,2021-01-06,29.4,2021
4548,Symptoms of Depressive Disorder,By State,Texas,Texas,2021-01-06,27.6,2021
4549,Symptoms of Depressive Disorder,By State,Utah,Utah,2021-01-06,29.5,2021
4550,Symptoms of Depressive Disorder,By State,Vermont,Vermont,2021-01-06,22.0,2021
4551,Symptoms of Depressive Disorder,By State,Virginia,Virginia,2021-01-06,28.6,2021
4552,Symptoms of Depressive Disorder,By State,Washington,Washington,2021-01-06,30.1,2021
4553,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,2021-01-06,38.5,2021
4554,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,2021-01-06,21.3,2021
4555,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,2021-01-06,26.2,2021
4575,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2021-01-06,35.8,2021
4576,Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,2021-01-06,46.3,2021
4577,Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,2021-01-06,40.0,2021
4578,Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,2021-01-06,40.0,2021
4579,Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,2021-01-06,36.0,2021
4580,Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,2021-01-06,29.6,2021
4581,Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,2021-01-06,22.3,2021
4582,Symptoms of Anxiety Disorder,By Age,United States,80 years and above,2021-01-06,20.3,2021
4583,Symptoms of Anxiety Disorder,By Sex,United States,Male,2021-01-06,30.7,2021
4584,Symptoms of Anxiety Disorder,By Sex,United States,Female,2021-01-06,40.5,2021
4585,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2021-01-06,37.6,2021
4586,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2021-01-06,35.8,2021
4587,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2021-01-06,34.8,2021
4588,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2021-01-06,28.1,2021
4589,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2021-01-06,41.2,2021
4590,Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,2021-01-06,42.9,2021
4591,Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,2021-01-06,34.7,2021
4592,Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,2021-01-06,38.8,2021
4593,Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,2021-01-06,32.3,2021
4594,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,2021-01-06,36.8,2021
4595,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,2021-01-06,36.2,2021
4596,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,2021-01-06,33.5,2021
4597,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,2021-01-06,37.6,2021
4598,Symptoms of Anxiety Disorder,By State,California,California,2021-01-06,39.9,2021
4599,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,2021-01-06,36.6,2021
4600,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,2021-01-06,35.3,2021
4601,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,2021-01-06,34.7,2021
4602,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,2021-01-06,34.4,2021
4603,Symptoms of Anxiety Disorder,By State,Florida,Florida,2021-01-06,33.7,2021
4604,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,2021-01-06,37.3,2021
4605,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,2021-01-06,34.4,2021
4606,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,2021-01-06,34.0,2021
4607,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,2021-01-06,35.6,2021
4608,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,2021-01-06,32.8,2021
4609,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,2021-01-06,31.1,2021
4610,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,2021-01-06,33.9,2021
4611,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,2021-01-06,35.8,2021
4612,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,2021-01-06,38.4,2021
4613,Symptoms of Anxiety Disorder,By State,Maine,Maine,2021-01-06,34.8,2021
4614,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,2021-01-06,32.9,2021
4615,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,2021-01-06,34.9,2021
4616,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,2021-01-06,38.6,2021
4617,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,2021-01-06,30.8,2021
4618,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,2021-01-06,49.2,2021
4619,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,2021-01-06,36.4,2021
4620,Symptoms of Anxiety Disorder,By State,Montana,Montana,2021-01-06,32.3,2021
4621,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,2021-01-06,31.7,2021
4622,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,2021-01-06,34.9,2021
4623,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,2021-01-06,33.7,2021
4624,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,2021-01-06,34.2,2021
4625,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,2021-01-06,33.6,2021
4626,Symptoms of Anxiety Disorder,By State,New York,New York,2021-01-06,33.8,2021
4627,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,2021-01-06,38.8,2021
4628,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,2021-01-06,30.9,2021
4629,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,2021-01-06,34.4,2021
4630,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,2021-01-06,37.8,2021
4631,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,2021-01-06,39.2,2021
4632,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,2021-01-06,34.6,2021
4633,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,2021-01-06,39.4,2021
4634,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,2021-01-06,35.9,2021
4635,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,2021-01-06,29.2,2021
4636,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,2021-01-06,34.4,2021
4637,Symptoms of Anxiety Disorder,By State,Texas,Texas,2021-01-06,33.9,2021
4638,Symptoms of Anxiety Disorder,By State,Utah,Utah,2021-01-06,38.5,2021
4639,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,2021-01-06,30.6,2021
4640,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,2021-01-06,37.1,2021
4641,Symptoms of Anxiety Disorder,By State,Washington,Washington,2021-01-06,37.9,2021
4642,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,2021-01-06,41.6,2021
4643,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,2021-01-06,31.4,2021
4644,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,2021-01-06,35.1,2021
4664,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2021-01-06,41.1,2021
4665,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,2021-01-06,53.5,2021
4666,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,2021-01-06,45.8,2021
4667,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,2021-01-06,43.9,2021
4668,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,2021-01-06,40.6,2021
4669,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,2021-01-06,34.1,2021
4670,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,2021-01-06,27.9,2021
4671,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,2021-01-06,27.3,2021
4672,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,2021-01-06,36.4,2021
4673,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Female,2021-01-06,45.4,2021
4674,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2021-01-06,42.1,2021
4675,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2021-01-06,40.6,2021
4676,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2021-01-06,42.2,2021
4677,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2021-01-06,34.0,2021
4678,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2021-01-06,50.7,2021
4679,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,2021-01-06,48.2,2021
4680,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,2021-01-06,41.1,2021
4681,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,2021-01-06,44.8,2021
4682,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,2021-01-06,35.9,2021
4683,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2021-01-06,42.0,2021
4684,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2021-01-06,41.5,2021
4685,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,2021-01-06,38.4,2021
4686,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,2021-01-06,41.1,2021
4687,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,2021-01-06,45.4,2021
4688,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,2021-01-06,41.7,2021
4689,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,2021-01-06,39.5,2021
4690,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,2021-01-06,40.8,2021
4691,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,2021-01-06,39.4,2021
4692,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,2021-01-06,38.0,2021
4693,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2021-01-06,43.3,2021
4694,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2021-01-06,38.1,2021
4695,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,2021-01-06,38.8,2021
4696,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,2021-01-06,40.9,2021
4697,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,2021-01-06,38.7,2021
4698,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,2021-01-06,36.3,2021
4699,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,2021-01-06,38.7,2021
4700,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,2021-01-06,40.4,2021
4701,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,2021-01-06,43.5,2021
4702,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,2021-01-06,40.6,2021
4703,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,2021-01-06,38.8,2021
4704,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,2021-01-06,38.4,2021
4705,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,2021-01-06,42.9,2021
4706,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,2021-01-06,33.6,2021
4707,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,2021-01-06,52.3,2021
4708,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2021-01-06,43.7,2021
4709,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2021-01-06,35.7,2021
4710,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,2021-01-06,38.5,2021
4711,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,2021-01-06,41.7,2021
4712,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,2021-01-06,36.5,2021
4713,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,2021-01-06,39.4,2021
4714,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,2021-01-06,38.9,2021
4715,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2021-01-06,40.2,2021
4716,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,2021-01-06,44.3,2021
4717,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,2021-01-06,35.6,2021
4718,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,2021-01-06,41.4,2021
4719,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,2021-01-06,42.8,2021
4720,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,2021-01-06,44.3,2021
4721,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,2021-01-06,41.3,2021
4722,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,2021-01-06,46.8,2021
4723,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,2021-01-06,42.0,2021
4724,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,2021-01-06,34.0,2021
4725,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,2021-01-06,39.6,2021
4726,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,2021-01-06,39.0,2021
4727,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,2021-01-06,42.8,2021
4728,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,2021-01-06,35.2,2021
4729,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,2021-01-06,41.4,2021
4730,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,2021-01-06,44.1,2021
4731,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,2021-01-06,49.7,2021
4732,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,2021-01-06,34.8,2021
4733,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,2021-01-06,37.9,2021
4734,Symptoms of Depressive Disorder,National Estimate,United States,United States,2021-01-20,28.4,2021
4735,Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,2021-01-20,43.4,2021
4736,Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,2021-01-20,31.6,2021
4737,Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,2021-01-20,27.1,2021
4738,Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,2021-01-20,28.0,2021
4739,Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,2021-01-20,22.4,2021
4740,Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,2021-01-20,17.7,2021
4741,Symptoms of Depressive Disorder,By Age,United States,80 years and above,2021-01-20,15.3,2021
4742,Symptoms of Depressive Disorder,By Sex,United States,Male,2021-01-20,26.3,2021
4743,Symptoms of Depressive Disorder,By Sex,United States,Female,2021-01-20,30.4,2021
4744,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2021-01-20,32.1,2021
4745,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2021-01-20,26.9,2021
4746,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2021-01-20,31.0,2021
4747,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2021-01-20,26.2,2021
4748,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2021-01-20,34.5,2021
4749,Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,2021-01-20,36.6,2021
4750,Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,2021-01-20,29.7,2021
4751,Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,2021-01-20,32.5,2021
4752,Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,2021-01-20,21.5,2021
4753,Symptoms of Depressive Disorder,By State,Alabama,Alabama,2021-01-20,32.1,2021
4754,Symptoms of Depressive Disorder,By State,Alaska,Alaska,2021-01-20,30.8,2021
4755,Symptoms of Depressive Disorder,By State,Arizona,Arizona,2021-01-20,29.8,2021
4756,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,2021-01-20,28.5,2021
4757,Symptoms of Depressive Disorder,By State,California,California,2021-01-20,30.7,2021
4758,Symptoms of Depressive Disorder,By State,Colorado,Colorado,2021-01-20,26.5,2021
4759,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,2021-01-20,25.2,2021
4760,Symptoms of Depressive Disorder,By State,Delaware,Delaware,2021-01-20,22.5,2021
4761,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,2021-01-20,21.5,2021
4762,Symptoms of Depressive Disorder,By State,Florida,Florida,2021-01-20,26.3,2021
4763,Symptoms of Depressive Disorder,By State,Georgia,Georgia,2021-01-20,31.1,2021
4764,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,2021-01-20,26.3,2021
4765,Symptoms of Depressive Disorder,By State,Idaho,Idaho,2021-01-20,28.1,2021
4766,Symptoms of Depressive Disorder,By State,Illinois,Illinois,2021-01-20,27.1,2021
4767,Symptoms of Depressive Disorder,By State,Indiana,Indiana,2021-01-20,28.0,2021
4768,Symptoms of Depressive Disorder,By State,Iowa,Iowa,2021-01-20,25.6,2021
4769,Symptoms of Depressive Disorder,By State,Kansas,Kansas,2021-01-20,24.6,2021
4770,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,2021-01-20,30.5,2021
4771,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,2021-01-20,34.0,2021
4772,Symptoms of Depressive Disorder,By State,Maine,Maine,2021-01-20,24.2,2021
4773,Symptoms of Depressive Disorder,By State,Maryland,Maryland,2021-01-20,27.1,2021
4774,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,2021-01-20,27.0,2021
4775,Symptoms of Depressive Disorder,By State,Michigan,Michigan,2021-01-20,30.1,2021
4776,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,2021-01-20,24.7,2021
4777,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,2021-01-20,27.0,2021
4778,Symptoms of Depressive Disorder,By State,Missouri,Missouri,2021-01-20,26.9,2021
4779,Symptoms of Depressive Disorder,By State,Montana,Montana,2021-01-20,24.9,2021
4780,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,2021-01-20,21.3,2021
4781,Symptoms of Depressive Disorder,By State,Nevada,Nevada,2021-01-20,30.9,2021
4782,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,2021-01-20,25.2,2021
4783,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,2021-01-20,29.1,2021
4784,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,2021-01-20,30.3,2021
4785,Symptoms of Depressive Disorder,By State,New York,New York,2021-01-20,25.1,2021
4786,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,2021-01-20,30.2,2021
4787,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,2021-01-20,18.5,2021
4788,Symptoms of Depressive Disorder,By State,Ohio,Ohio,2021-01-20,29.6,2021
4789,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,2021-01-20,32.1,2021
4790,Symptoms of Depressive Disorder,By State,Oregon,Oregon,2021-01-20,28.5,2021
4791,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,2021-01-20,25.4,2021
4792,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,2021-01-20,30.3,2021
4793,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,2021-01-20,24.4,2021
4794,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,2021-01-20,15.3,2021
4795,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,2021-01-20,32.0,2021
4796,Symptoms of Depressive Disorder,By State,Texas,Texas,2021-01-20,31.0,2021
4797,Symptoms of Depressive Disorder,By State,Utah,Utah,2021-01-20,28.2,2021
4798,Symptoms of Depressive Disorder,By State,Vermont,Vermont,2021-01-20,21.2,2021
4799,Symptoms of Depressive Disorder,By State,Virginia,Virginia,2021-01-20,24.6,2021
4800,Symptoms of Depressive Disorder,By State,Washington,Washington,2021-01-20,33.2,2021
4801,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,2021-01-20,31.6,2021
