Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk,year
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,2020-04-23,37.6,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,2020-04-23,34.6,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,2020-04-23,41.4,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,2020-04-23,34.6,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,2020-04-23,27.7,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,2020-04-23,35.1,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,2020-04-23,34.1,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,2020-04-23,36.8,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,2020-04-23,35.1,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,2020-04-23,34.4,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,2020-04-23,33.3,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,2020-04-23,25.6,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,2020-04-23,33.4,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,2020-04-23,34.9,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,2020-04-23,34.7,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,2020-04-23,33.9,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,2020-04-23,33.7,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,2020-04-23,35.0,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,2020-04-23,34.3,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,2020-04-23,31.1,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,2020-04-23,31.0,High,2020
Symptoms of Depressive Disorder,By State,Alabama,2020-05-07,22.5,Mild,2020
Symptoms of Depressive Disorder,By State,Alaska,2020-05-07,25.1,Moderate,2020
Symptoms of Depressive Disorder,By State,Arizona,2020-05-07,25.3,Moderate,2020
Symptoms of Depressive Disorder,By State,Arkansas,2020-05-07,24.5,Mild,2020
Symptoms of Depressive Disorder,By State,California,2020-05-07,22.8,Mild,2020
Symptoms of Depressive Disorder,By State,Colorado,2020-05-07,23.6,Mild,2020
Symptoms of Depressive Disorder,By State,Connecticut,2020-05-07,21.5,Mild,2020
Symptoms of Depressive Disorder,By State,Delaware,2020-05-07,23.3,Mild,2020
Symptoms of Depressive Disorder,By State,District of Columbia,2020-05-07,30.3,High,2020
Symptoms of Depressive Disorder,By State,Florida,2020-05-07,24.8,Moderate,2020
Symptoms of Depressive Disorder,By State,Georgia,2020-05-07,25.6,Moderate,2020
Symptoms of Depressive Disorder,By State,Hawaii,2020-05-07,16.8,Mild,2020
Symptoms of Depressive Disorder,By State,Idaho,2020-05-07,17.0,Mild,2020
Symptoms of Depressive Disorder,By State,Illinois,2020-05-07,29.2,Moderate,2020
Symptoms of Depressive Disorder,By State,Indiana,2020-05-07,19.9,Mild,2020
Symptoms of Depressive Disorder,By State,Iowa,2020-05-07,18.1,Mild,2020
Symptoms of Depressive Disorder,By State,Kansas,2020-05-07,16.7,Mild,2020
Symptoms of Depressive Disorder,By State,Kentucky,2020-05-07,25.6,Moderate,2020
Symptoms of Depressive Disorder,By State,Louisiana,2020-05-07,30.0,High,2020
Symptoms of Depressive Disorder,By State,Maine,2020-05-07,17.1,Mild,2020
Symptoms of Depressive Disorder,By State,Maryland,2020-05-07,24.6,Mild,2020
Symptoms of Depressive Disorder,By State,Massachusetts,2020-05-07,18.9,Mild,2020
Symptoms of Depressive Disorder,By State,Michigan,2020-05-07,23.4,Mild,2020
Symptoms of Depressive Disorder,By State,Minnesota,2020-05-07,18.4,Mild,2020
Symptoms of Depressive Disorder,By State,Mississippi,2020-05-07,35.5,Extreme,2020
Symptoms of Depressive Disorder,By State,Missouri,2020-05-07,24.1,Mild,2020
Symptoms of Depressive Disorder,By State,Montana,2020-05-07,20.8,Mild,2020
Symptoms of Depressive Disorder,By State,Nebraska,2020-05-07,21.6,Mild,2020
Symptoms of Depressive Disorder,By State,Nevada,2020-05-07,31.2,High,2020
Symptoms of Depressive Disorder,By State,New Hampshire,2020-05-07,23.3,Mild,2020
Symptoms of Depressive Disorder,By State,New Jersey,2020-05-07,26.4,Moderate,2020
Symptoms of Depressive Disorder,By State,New Mexico,2020-05-07,29.0,Moderate,2020
Symptoms of Depressive Disorder,By State,New York,2020-05-07,29.2,Moderate,2020
Symptoms of Depressive Disorder,By State,North Carolina,2020-05-07,20.2,Mild,2020
Symptoms of Depressive Disorder,By State,North Dakota,2020-05-07,20.2,Mild,2020
Symptoms of Depressive Disorder,By State,Ohio,2020-05-07,26.4,Moderate,2020
Symptoms of Depressive Disorder,By State,Oklahoma,2020-05-07,20.7,Mild,2020
Symptoms of Depressive Disorder,By State,Oregon,2020-05-07,17.8,Mild,2020
Symptoms of Depressive Disorder,By State,Pennsylvania,2020-05-07,23.0,Mild,2020
Symptoms of Depressive Disorder,By State,Rhode Island,2020-05-07,22.8,Mild,2020
Symptoms of Depressive Disorder,By State,South Carolina,2020-05-07,25.6,Moderate,2020
Symptoms of Depressive Disorder,By State,South Dakota,2020-05-07,20.5,Mild,2020
Symptoms of Depressive Disorder,By State,Tennessee,2020-05-07,21.7,Mild,2020
Symptoms of Depressive Disorder,By State,Texas,2020-05-07,25.7,Moderate,2020
Symptoms of Depressive Disorder,By State,Utah,2020-05-07,22.6,Mild,2020
Symptoms of Depressive Disorder,By State,Vermont,2020-05-07,26.8,Moderate,2020
Symptoms of Depressive Disorder,By State,Virginia,2020-05-07,20.6,Mild,2020
Symptoms of Depressive Disorder,By State,Washington,2020-05-07,22.9,Mild,2020
Symptoms of Depressive Disorder,By State,West Virginia,2020-05-07,31.8,High,2020
Symptoms of Depressive Disorder,By State,Wisconsin,2020-05-07,22.9,Mild,2020
Symptoms of Depressive Disorder,By State,Wyoming,2020-05-07,18.6,Mild,2020
Symptoms of Anxiety Disorder,By State,Alabama,2020-05-07,27.2,Moderate,2020
Symptoms of Anxiety Disorder,By State,Alaska,2020-05-07,27.4,Moderate,2020
Symptoms of Anxiety Disorder,By State,Arizona,2020-05-07,34.2,High,2020
Symptoms of Anxiety Disorder,By State,Arkansas,2020-05-07,29.1,Moderate,2020
Symptoms of Anxiety Disorder,By State,California,2020-05-07,31.4,High,2020
Symptoms of Anxiety Disorder,By State,Colorado,2020-05-07,29.7,Moderate,2020
Symptoms of Anxiety Disorder,By State,Connecticut,2020-05-07,29.1,Moderate,2020
Symptoms of Anxiety Disorder,By State,Delaware,2020-05-07,24.9,Moderate,2020
Symptoms of Anxiety Disorder,By State,District of Columbia,2020-05-07,36.2,Extreme,2020
Symptoms of Anxiety Disorder,By State,Florida,2020-05-07,27.6,Moderate,2020
Symptoms of Anxiety Disorder,By State,Georgia,2020-05-07,29.5,Moderate,2020
Symptoms of Anxiety Disorder,By State,Hawaii,2020-05-07,20.4,Mild,2020
Symptoms of Anxiety Disorder,By State,Idaho,2020-05-07,25.0,Moderate,2020
Symptoms of Anxiety Disorder,By State,Illinois,2020-05-07,35.7,Extreme,2020
Symptoms of Anxiety Disorder,By State,Indiana,2020-05-07,31.5,High,2020
Symptoms of Anxiety Disorder,By State,Iowa,2020-05-07,20.3,Mild,2020
Symptoms of Anxiety Disorder,By State,Kansas,2020-05-07,25.1,Moderate,2020
Symptoms of Anxiety Disorder,By State,Kentucky,2020-05-07,29.6,Moderate,2020
Symptoms of Anxiety Disorder,By State,Louisiana,2020-05-07,34.6,High,2020
Symptoms of Anxiety Disorder,By State,Maine,2020-05-07,28.9,Moderate,2020
Symptoms of Anxiety Disorder,By State,Maryland,2020-05-07,30.1,High,2020
Symptoms of Anxiety Disorder,By State,Massachusetts,2020-05-07,28.7,Moderate,2020
Symptoms of Anxiety Disorder,By State,Michigan,2020-05-07,27.0,Moderate,2020
Symptoms of Anxiety Disorder,By State,Minnesota,2020-05-07,22.9,Mild,2020
Symptoms of Anxiety Disorder,By State,Mississippi,2020-05-07,38.3,Extreme,2020
Symptoms of Anxiety Disorder,By State,Missouri,2020-05-07,37.8,Extreme,2020
Symptoms of Anxiety Disorder,By State,Montana,2020-05-07,24.9,Moderate,2020
Symptoms of Anxiety Disorder,By State,Nebraska,2020-05-07,29.6,Moderate,2020
Symptoms of Anxiety Disorder,By State,Nevada,2020-05-07,34.0,High,2020
Symptoms of Anxiety Disorder,By State,New Hampshire,2020-05-07,30.4,High,2020
Symptoms of Anxiety Disorder,By State,New Jersey,2020-05-07,36.3,Extreme,2020
Symptoms of Anxiety Disorder,By State,New Mexico,2020-05-07,30.2,High,2020
Symptoms of Anxiety Disorder,By State,New York,2020-05-07,33.0,High,2020
Symptoms of Anxiety Disorder,By State,North Carolina,2020-05-07,25.9,Moderate,2020
Symptoms of Anxiety Disorder,By State,North Dakota,2020-05-07,25.4,Moderate,2020
Symptoms of Anxiety Disorder,By State,Ohio,2020-05-07,26.4,Moderate,2020
Symptoms of Anxiety Disorder,By State,Oklahoma,2020-05-07,27.2,Moderate,2020
Symptoms of Anxiety Disorder,By State,Oregon,2020-05-07,26.2,Moderate,2020
Symptoms of Anxiety Disorder,By State,Pennsylvania,2020-05-07,28.4,Moderate,2020
Symptoms of Anxiety Disorder,By State,Rhode Island,2020-05-07,26.9,Moderate,2020
Symptoms of Anxiety Disorder,By State,South Carolina,2020-05-07,27.9,Moderate,2020
Symptoms of Anxiety Disorder,By State,South Dakota,2020-05-07,26.1,Moderate,2020
Symptoms of Anxiety Disorder,By State,Tennessee,2020-05-07,29.6,Moderate,2020
Symptoms of Anxiety Disorder,By State,Texas,2020-05-07,32.4,High,2020
Symptoms of Anxiety Disorder,By State,Utah,2020-05-07,26.0,Moderate,2020
Symptoms of Anxiety Disorder,By State,Vermont,2020-05-07,31.8,High,2020
Symptoms of Anxiety Disorder,By State,Virginia,2020-05-07,26.8,Moderate,2020
Symptoms of Anxiety Disorder,By State,Washington,2020-05-07,28.5,Moderate,2020
Symptoms of Anxiety Disorder,By State,West Virginia,2020-05-07,34.6,High,2020
Symptoms of Anxiety Disorder,By State,Wisconsin,2020-05-07,25.6,Moderate,2020
Symptoms of Anxiety Disorder,By State,Wyoming,2020-05-07,22.5,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,2020-05-07,30.6,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,2020-05-07,35.7,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,2020-05-07,38.4,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,2020-05-07,33.0,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,2020-05-07,34.4,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,2020-05-07,32.2,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,2020-05-07,36.0,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,2020-05-07,31.6,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,2020-05-07,40.6,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,2020-05-07,33.6,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,2020-05-07,34.3,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,2020-05-07,27.1,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,2020-05-07,29.2,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,2020-05-07,41.8,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,2020-05-07,34.9,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,2020-05-07,26.1,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,2020-05-07,28.0,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,2020-05-07,37.7,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,2020-05-07,42.8,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,2020-05-07,32.9,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,2020-05-07,34.6,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,2020-05-07,31.0,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,2020-05-07,33.4,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,2020-05-07,27.2,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,2020-05-07,48.4,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,2020-05-07,41.3,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,2020-05-07,27.6,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,2020-05-07,33.4,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,2020-05-07,38.1,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,2020-05-07,35.0,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,2020-05-07,39.6,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,2020-05-07,39.8,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,2020-05-07,36.9,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,2020-05-07,28.1,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,2020-05-07,28.6,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,2020-05-07,32.8,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,2020-05-07,31.0,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,2020-05-07,29.9,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,2020-05-07,32.0,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,2020-05-07,33.8,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,2020-05-07,33.1,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,2020-05-07,29.8,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,2020-05-07,34.7,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,2020-05-07,35.9,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,2020-05-07,30.4,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,2020-05-07,35.7,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,2020-05-07,30.6,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,2020-05-07,35.0,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,2020-05-07,39.0,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,2020-05-07,29.7,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,2020-05-07,27.9,Moderate,2020
Symptoms of Depressive Disorder,By State,Alabama,2020-05-14,19.6,Mild,2020
Symptoms of Depressive Disorder,By State,Alaska,2020-05-14,23.6,Mild,2020
Symptoms of Depressive Disorder,By State,Arizona,2020-05-14,20.0,Mild,2020
Symptoms of Depressive Disorder,By State,Arkansas,2020-05-14,28.9,Moderate,2020
