Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk
Symptoms of Anxiety Disorder,By State,Nevada,2021-01-06,34.9,High
Symptoms of Anxiety Disorder,By State,New Hampshire,2021-01-06,33.7,High
Symptoms of Anxiety Disorder,By State,New Jersey,2021-01-06,34.2,High
Symptoms of Anxiety Disorder,By State,New Mexico,2021-01-06,33.6,High
Symptoms of Anxiety Disorder,By State,New York,2021-01-06,33.8,High
Symptoms of Anxiety Disorder,By State,North Carolina,2021-01-06,38.8,Extreme
Symptoms of Anxiety Disorder,By State,North Dakota,2021-01-06,30.9,High
Symptoms of Anxiety Disorder,By State,Ohio,2021-01-06,34.4,High
Symptoms of Anxiety Disorder,By State,Oklahoma,2021-01-06,37.8,Extreme
Symptoms of Anxiety Disorder,By State,Oregon,2021-01-06,39.2,Extreme
Symptoms of Anxiety Disorder,By State,Pennsylvania,2021-01-06,34.6,High
Symptoms of Anxiety Disorder,By State,Rhode Island,2021-01-06,39.4,Extreme
Symptoms of Anxiety Disorder,By State,South Carolina,2021-01-06,35.9,Extreme
Symptoms of Anxiety Disorder,By State,South Dakota,2021-01-06,29.2,Moderate
Symptoms of Anxiety Disorder,By State,Tennessee,2021-01-06,34.4,High
Symptoms of Anxiety Disorder,By State,Texas,2021-01-06,33.9,High
Symptoms of Anxiety Disorder,By State,Utah,2021-01-06,38.5,Extreme
Symptoms of Anxiety Disorder,By State,Vermont,2021-01-06,30.6,High
Symptoms of Anxiety Disorder,By State,Virginia,2021-01-06,37.1,Extreme
Symptoms of Anxiety Disorder,By State,Washington,2021-01-06,37.9,Extreme
Symptoms of Anxiety Disorder,By State,West Virginia,2021-01-06,41.6,Extreme
Symptoms of Anxiety Disorder,By State,Wisconsin,2021-01-06,31.4,High
Symptoms of Anxiety Disorder,By State,Wyoming,2021-01-06,35.1,High
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,2021-01-06,42.0,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,2021-01-06,41.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,2021-01-06,38.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,2021-01-06,41.1,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,2021-01-06,45.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,2021-01-06,41.7,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,2021-01-06,39.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,2021-01-06,40.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,2021-01-06,39.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,2021-01-06,38.0,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,2021-01-06,43.3,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,2021-01-06,38.1,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,2021-01-06,38.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,2021-01-06,40.9,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,2021-01-06,38.7,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,2021-01-06,36.3,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,2021-01-06,38.7,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,2021-01-06,40.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,2021-01-06,43.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,2021-01-06,40.6,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,2021-01-06,38.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,2021-01-06,38.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,2021-01-06,42.9,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,2021-01-06,33.6,High
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,2021-01-06,52.3,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,2021-01-06,43.7,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,2021-01-06,35.7,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,2021-01-06,38.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,2021-01-06,41.7,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,2021-01-06,36.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,2021-01-06,39.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,2021-01-06,38.9,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,2021-01-06,40.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,2021-01-06,44.3,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,2021-01-06,35.6,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,2021-01-06,41.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,2021-01-06,42.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,2021-01-06,44.3,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,2021-01-06,41.3,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,2021-01-06,46.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,2021-01-06,42.0,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,2021-01-06,34.0,High
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,2021-01-06,39.6,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,2021-01-06,39.0,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,2021-01-06,42.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,2021-01-06,35.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,2021-01-06,41.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,2021-01-06,44.1,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,2021-01-06,49.7,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,2021-01-06,34.8,High
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,2021-01-06,37.9,Extreme
Symptoms of Depressive Disorder,By State,Alabama,2021-01-20,32.1,High
Symptoms of Depressive Disorder,By State,Alaska,2021-01-20,30.8,High
Symptoms of Depressive Disorder,By State,Arizona,2021-01-20,29.8,High
Symptoms of Depressive Disorder,By State,Arkansas,2021-01-20,28.5,Moderate
Symptoms of Depressive Disorder,By State,California,2021-01-20,30.7,High
Symptoms of Depressive Disorder,By State,Colorado,2021-01-20,26.5,Moderate
Symptoms of Depressive Disorder,By State,Connecticut,2021-01-20,25.2,Moderate
Symptoms of Depressive Disorder,By State,Delaware,2021-01-20,22.5,Mild
Symptoms of Depressive Disorder,By State,District of Columbia,2021-01-20,21.5,Mild
Symptoms of Depressive Disorder,By State,Florida,2021-01-20,26.3,Moderate
Symptoms of Depressive Disorder,By State,Georgia,2021-01-20,31.1,High
Symptoms of Depressive Disorder,By State,Hawaii,2021-01-20,26.3,Moderate
Symptoms of Depressive Disorder,By State,Idaho,2021-01-20,28.1,Moderate
Symptoms of Depressive Disorder,By State,Illinois,2021-01-20,27.1,Moderate
Symptoms of Depressive Disorder,By State,Indiana,2021-01-20,28.0,Moderate
Symptoms of Depressive Disorder,By State,Iowa,2021-01-20,25.6,Moderate
Symptoms of Depressive Disorder,By State,Kansas,2021-01-20,24.6,Mild
Symptoms of Depressive Disorder,By State,Kentucky,2021-01-20,30.5,High
Symptoms of Depressive Disorder,By State,Louisiana,2021-01-20,34.0,High
Symptoms of Depressive Disorder,By State,Maine,2021-01-20,24.2,Mild
Symptoms of Depressive Disorder,By State,Maryland,2021-01-20,27.1,Moderate
Symptoms of Depressive Disorder,By State,Massachusetts,2021-01-20,27.0,Moderate
Symptoms of Depressive Disorder,By State,Michigan,2021-01-20,30.1,High
Symptoms of Depressive Disorder,By State,Minnesota,2021-01-20,24.7,Mild
Symptoms of Depressive Disorder,By State,Mississippi,2021-01-20,27.0,Moderate
Symptoms of Depressive Disorder,By State,Missouri,2021-01-20,26.9,Moderate
Symptoms of Depressive Disorder,By State,Montana,2021-01-20,24.9,Moderate
Symptoms of Depressive Disorder,By State,Nebraska,2021-01-20,21.3,Mild
Symptoms of Depressive Disorder,By State,Nevada,2021-01-20,30.9,High
Symptoms of Depressive Disorder,By State,New Hampshire,2021-01-20,25.2,Moderate
Symptoms of Depressive Disorder,By State,New Jersey,2021-01-20,29.1,Moderate
Symptoms of Depressive Disorder,By State,New Mexico,2021-01-20,30.3,High
Symptoms of Depressive Disorder,By State,New York,2021-01-20,25.1,Moderate
Symptoms of Depressive Disorder,By State,North Carolina,2021-01-20,30.2,High
Symptoms of Depressive Disorder,By State,North Dakota,2021-01-20,18.5,Mild
Symptoms of Depressive Disorder,By State,Ohio,2021-01-20,29.6,Moderate
Symptoms of Depressive Disorder,By State,Oklahoma,2021-01-20,32.1,High
Symptoms of Depressive Disorder,By State,Oregon,2021-01-20,28.5,Moderate
Symptoms of Depressive Disorder,By State,Pennsylvania,2021-01-20,25.4,Moderate
Symptoms of Depressive Disorder,By State,Rhode Island,2021-01-20,30.3,High
Symptoms of Depressive Disorder,By State,South Carolina,2021-01-20,24.4,Mild
Symptoms of Depressive Disorder,By State,South Dakota,2021-01-20,15.3,Mild
Symptoms of Depressive Disorder,By State,Tennessee,2021-01-20,32.0,High
Symptoms of Depressive Disorder,By State,Texas,2021-01-20,31.0,High
Symptoms of Depressive Disorder,By State,Utah,2021-01-20,28.2,Moderate
Symptoms of Depressive Disorder,By State,Vermont,2021-01-20,21.2,Mild
Symptoms of Depressive Disorder,By State,Virginia,2021-01-20,24.6,Mild
Symptoms of Depressive Disorder,By State,Washington,2021-01-20,33.2,High
Symptoms of Depressive Disorder,By State,West Virginia,2021-01-20,31.6,High
Symptoms of Depressive Disorder,By State,Wisconsin,2021-01-20,25.8,Moderate
Symptoms of Depressive Disorder,By State,Wyoming,2021-01-20,28.4,Moderate
Symptoms of Anxiety Disorder,By State,Alabama,2021-01-20,36.6,Extreme
Symptoms of Anxiety Disorder,By State,Alaska,2021-01-20,37.1,Extreme
Symptoms of Anxiety Disorder,By State,Arizona,2021-01-20,36.9,Extreme
Symptoms of Anxiety Disorder,By State,Arkansas,2021-01-20,35.1,High
Symptoms of Anxiety Disorder,By State,California,2021-01-20,39.7,Extreme
Symptoms of Anxiety Disorder,By State,Colorado,2021-01-20,37.7,Extreme
Symptoms of Anxiety Disorder,By State,Connecticut,2021-01-20,35.8,Extreme
Symptoms of Anxiety Disorder,By State,Delaware,2021-01-20,27.1,Moderate
Symptoms of Anxiety Disorder,By State,District of Columbia,2021-01-20,37.5,Extreme
Symptoms of Anxiety Disorder,By State,Florida,2021-01-20,35.3,Extreme
Symptoms of Anxiety Disorder,By State,Georgia,2021-01-20,39.0,Extreme
Symptoms of Anxiety Disorder,By State,Hawaii,2021-01-20,31.2,High
Symptoms of Anxiety Disorder,By State,Idaho,2021-01-20,32.0,High
Symptoms of Anxiety Disorder,By State,Illinois,2021-01-20,32.3,High
Symptoms of Anxiety Disorder,By State,Indiana,2021-01-20,36.8,Extreme
Symptoms of Anxiety Disorder,By State,Iowa,2021-01-20,31.8,High
Symptoms of Anxiety Disorder,By State,Kansas,2021-01-20,32.1,High
Symptoms of Anxiety Disorder,By State,Kentucky,2021-01-20,37.6,Extreme
Symptoms of Anxiety Disorder,By State,Louisiana,2021-01-20,43.4,Extreme
Symptoms of Anxiety Disorder,By State,Maine,2021-01-20,34.2,High
Symptoms of Anxiety Disorder,By State,Maryland,2021-01-20,34.7,High
Symptoms of Anxiety Disorder,By State,Massachusetts,2021-01-20,36.0,Extreme
Symptoms of Anxiety Disorder,By State,Michigan,2021-01-20,32.9,High
Symptoms of Anxiety Disorder,By State,Minnesota,2021-01-20,32.1,High
Symptoms of Anxiety Disorder,By State,Mississippi,2021-01-20,35.8,Extreme
Symptoms of Anxiety Disorder,By State,Missouri,2021-01-20,33.6,High
Symptoms of Anxiety Disorder,By State,Montana,2021-01-20,30.5,High
Symptoms of Anxiety Disorder,By State,Nebraska,2021-01-20,28.7,Moderate
Symptoms of Anxiety Disorder,By State,Nevada,2021-01-20,37.4,Extreme
Symptoms of Anxiety Disorder,By State,New Hampshire,2021-01-20,32.5,High
Symptoms of Anxiety Disorder,By State,New Jersey,2021-01-20,35.3,Extreme
Symptoms of Anxiety Disorder,By State,New Mexico,2021-01-20,35.8,Extreme
Symptoms of Anxiety Disorder,By State,New York,2021-01-20,32.3,High
Symptoms of Anxiety Disorder,By State,North Carolina,2021-01-20,39.2,Extreme
Symptoms of Anxiety Disorder,By State,North Dakota,2021-01-20,23.8,Mild
Symptoms of Anxiety Disorder,By State,Ohio,2021-01-20,36.4,Extreme
Symptoms of Anxiety Disorder,By State,Oklahoma,2021-01-20,43.4,Extreme
Symptoms of Anxiety Disorder,By State,Oregon,2021-01-20,36.5,Extreme
Symptoms of Anxiety Disorder,By State,Pennsylvania,2021-01-20,35.1,High
Symptoms of Anxiety Disorder,By State,Rhode Island,2021-01-20,35.1,High
Symptoms of Anxiety Disorder,By State,South Carolina,2021-01-20,32.8,High
Symptoms of Anxiety Disorder,By State,South Dakota,2021-01-20,25.8,Moderate
Symptoms of Anxiety Disorder,By State,Tennessee,2021-01-20,38.5,Extreme
Symptoms of Anxiety Disorder,By State,Texas,2021-01-20,38.5,Extreme
Symptoms of Anxiety Disorder,By State,Utah,2021-01-20,35.9,Extreme
Symptoms of Anxiety Disorder,By State,Vermont,2021-01-20,32.4,High
Symptoms of Anxiety Disorder,By State,Virginia,2021-01-20,32.7,High
Symptoms of Anxiety Disorder,By State,Washington,2021-01-20,41.0,Extreme
Symptoms of Anxiety Disorder,By State,West Virginia,2021-01-20,34.7,High
Symptoms of Anxiety Disorder,By State,Wisconsin,2021-01-20,30.0,High
Symptoms of Anxiety Disorder,By State,Wyoming,2021-01-20,32.5,High
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,2021-01-20,43.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,2021-01-20,43.1,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,2021-01-20,40.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,2021-01-20,40.0,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,2021-01-20,46.1,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,2021-01-20,41.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,2021-01-20,40.6,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,2021-01-20,32.8,High
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,2021-01-20,43.7,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,2021-01-20,40.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,2021-01-20,44.3,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,2021-01-20,37.6,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,2021-01-20,40.0,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,2021-01-20,38.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,2021-01-20,42.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,2021-01-20,38.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,2021-01-20,36.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,2021-01-20,43.6,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,2021-01-20,47.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,2021-01-20,37.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,2021-01-20,39.1,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,2021-01-20,42.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,2021-01-20,39.9,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,2021-01-20,37.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,2021-01-20,42.7,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,2021-01-20,39.0,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,2021-01-20,35.1,High
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,2021-01-20,33.8,High
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,2021-01-20,41.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,2021-01-20,37.7,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,2021-01-20,42.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,2021-01-20,43.3,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,2021-01-20,35.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,2021-01-20,44.7,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,2021-01-20,28.8,Moderate
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,2021-01-20,43.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,2021-01-20,47.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,2021-01-20,42.0,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,2021-01-20,39.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,2021-01-20,41.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,2021-01-20,37.6,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,2021-01-20,29.1,Moderate
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,2021-01-20,43.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,2021-01-20,43.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,2021-01-20,40.9,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,2021-01-20,36.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,2021-01-20,36.9,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,2021-01-20,46.3,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,2021-01-20,41.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,2021-01-20,36.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,2021-01-20,40.2,Extreme
Symptoms of Depressive Disorder,By State,Alabama,2021-02-03,29.8,High
Symptoms of Depressive Disorder,By State,Alaska,2021-02-03,31.5,High
Symptoms of Depressive Disorder,By State,Arizona,2021-02-03,30.4,High
Symptoms of Depressive Disorder,By State,Arkansas,2021-02-03,33.4,High
Symptoms of Depressive Disorder,By State,California,2021-02-03,30.3,High
Symptoms of Depressive Disorder,By State,Colorado,2021-02-03,23.6,Mild
Symptoms of Depressive Disorder,By State,Connecticut,2021-02-03,27.1,Moderate
Symptoms of Depressive Disorder,By State,Delaware,2021-02-03,24.8,Moderate
Symptoms of Depressive Disorder,By State,District of Columbia,2021-02-03,24.5,Mild
Symptoms of Depressive Disorder,By State,Florida,2021-02-03,28.1,Moderate
Symptoms of Depressive Disorder,By State,Georgia,2021-02-03,28.5,Moderate
Symptoms of Depressive Disorder,By State,Hawaii,2021-02-03,23.4,Mild
Symptoms of Depressive Disorder,By State,Idaho,2021-02-03,26.6,Moderate
Symptoms of Depressive Disorder,By State,Illinois,2021-02-03,27.9,Moderate
Symptoms of Depressive Disorder,By State,Indiana,2021-02-03,25.7,Moderate
Symptoms of Depressive Disorder,By State,Iowa,2021-02-03,25.0,Moderate
Symptoms of Depressive Disorder,By State,Kansas,2021-02-03,24.8,Moderate
Symptoms of Depressive Disorder,By State,Kentucky,2021-02-03,28.7,Moderate
Symptoms of Depressive Disorder,By State,Louisiana,2021-02-03,31.3,High
Symptoms of Depressive Disorder,By State,Maine,2021-02-03,23.0,Mild
Symptoms of Depressive Disorder,By State,Maryland,2021-02-03,26.6,Moderate
Symptoms of Depressive Disorder,By State,Massachusetts,2021-02-03,26.5,Moderate
Symptoms of Depressive Disorder,By State,Michigan,2021-02-03,27.3,Moderate
Symptoms of Depressive Disorder,By State,Minnesota,2021-02-03,21.9,Mild
Symptoms of Depressive Disorder,By State,Mississippi,2021-02-03,32.7,High
Symptoms of Depressive Disorder,By State,Missouri,2021-02-03,29.3,Moderate
