,Indicator,Group,Subgroup,Time Period Start Date,Value,Risk
28,Symptoms of Depressive Disorder,By State,Florida,04/23/2020,22.5,Mild
29,Symptoms of Depressive Disorder,By State,Georgia,04/23/2020,25.6,Moderate
30,Symptoms of Depressive Disorder,By State,Hawaii,04/23/2020,20.0,Mild
31,Symptoms of Depressive Disorder,By State,Idaho,04/23/2020,20.6,Mild
32,Symptoms of Depressive Disorder,By State,Illinois,04/23/2020,23.3,Mild
33,Symptoms of Depressive Disorder,By State,Indiana,04/23/2020,26.4,Moderate
34,Symptoms of Depressive Disorder,By State,Iowa,04/23/2020,16.5,Mild
35,Symptoms of Depressive Disorder,By State,Kansas,04/23/2020,22.1,Mild
36,Symptoms of Depressive Disorder,By State,Kentucky,04/23/2020,23.2,Mild
37,Symptoms of Depressive Disorder,By State,Louisiana,04/23/2020,28.1,Moderate
38,Symptoms of Depressive Disorder,By State,Maine,04/23/2020,19.5,Mild
39,Symptoms of Depressive Disorder,By State,Maryland,04/23/2020,20.9,Mild
40,Symptoms of Depressive Disorder,By State,Massachusetts,04/23/2020,25.9,Moderate
41,Symptoms of Depressive Disorder,By State,Michigan,04/23/2020,25.5,Moderate
42,Symptoms of Depressive Disorder,By State,Minnesota,04/23/2020,20.4,Mild
43,Symptoms of Depressive Disorder,By State,Mississippi,04/23/2020,22.9,Mild
44,Symptoms of Depressive Disorder,By State,Missouri,04/23/2020,21.0,Mild
45,Symptoms of Depressive Disorder,By State,Montana,04/23/2020,18.2,Mild
46,Symptoms of Depressive Disorder,By State,Nebraska,04/23/2020,19.1,Mild
47,Symptoms of Depressive Disorder,By State,Nevada,04/23/2020,23.6,Mild
48,Symptoms of Depressive Disorder,By State,New Hampshire,04/23/2020,19.5,Mild
49,Symptoms of Depressive Disorder,By State,New Jersey,04/23/2020,23.6,Mild
50,Symptoms of Depressive Disorder,By State,New Mexico,04/23/2020,22.4,Mild
51,Symptoms of Depressive Disorder,By State,New York,04/23/2020,28.7,Moderate
52,Symptoms of Depressive Disorder,By State,North Carolina,04/23/2020,21.1,Mild
53,Symptoms of Depressive Disorder,By State,North Dakota,04/23/2020,17.0,Mild
54,Symptoms of Depressive Disorder,By State,Ohio,04/23/2020,21.2,Mild
55,Symptoms of Depressive Disorder,By State,Oklahoma,04/23/2020,20.8,Mild
56,Symptoms of Depressive Disorder,By State,Oregon,04/23/2020,22.5,Mild
57,Symptoms of Depressive Disorder,By State,Pennsylvania,04/23/2020,24.7,Mild
58,Symptoms of Depressive Disorder,By State,Rhode Island,04/23/2020,24.5,Mild
59,Symptoms of Depressive Disorder,By State,South Carolina,04/23/2020,21.6,Mild
60,Symptoms of Depressive Disorder,By State,South Dakota,04/23/2020,17.5,Mild
61,Symptoms of Depressive Disorder,By State,Tennessee,04/23/2020,22.2,Mild
62,Symptoms of Depressive Disorder,By State,Texas,04/23/2020,24.4,Mild
63,Symptoms of Depressive Disorder,By State,Utah,04/23/2020,22.9,Mild
64,Symptoms of Depressive Disorder,By State,Vermont,04/23/2020,20.7,Mild
65,Symptoms of Depressive Disorder,By State,Virginia,04/23/2020,21.5,Mild
66,Symptoms of Depressive Disorder,By State,Washington,04/23/2020,22.1,Mild
67,Symptoms of Depressive Disorder,By State,West Virginia,04/23/2020,23.4,Mild
68,Symptoms of Depressive Disorder,By State,Wisconsin,04/23/2020,22.0,Mild
69,Symptoms of Depressive Disorder,By State,Wyoming,04/23/2020,18.9,Mild
70,Symptoms of Anxiety Disorder,National Estimate,United States,04/23/2020,30.8,High
71,Symptoms of Anxiety Disorder,By Age,18 - 29 years,04/23/2020,40.2,Extreme
72,Symptoms of Anxiety Disorder,By Age,30 - 39 years,04/23/2020,34.4,High
73,Symptoms of Anxiety Disorder,By Age,40 - 49 years,04/23/2020,34.1,High
74,Symptoms of Anxiety Disorder,By Age,50 - 59 years,04/23/2020,31.0,High
75,Symptoms of Anxiety Disorder,By Age,60 - 69 years,04/23/2020,24.9,Moderate
76,Symptoms of Anxiety Disorder,By Age,70 - 79 years,04/23/2020,16.4,Mild
77,Symptoms of Anxiety Disorder,By Age,80 years and above,04/23/2020,14.6,Mild
78,Symptoms of Anxiety Disorder,By Sex,Male,04/23/2020,26.1,Moderate
79,Symptoms of Anxiety Disorder,By Sex,Female,04/23/2020,35.4,Extreme
80,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,04/23/2020,36.3,Extreme
81,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",04/23/2020,29.0,Moderate
82,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",04/23/2020,32.8,High
83,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",04/23/2020,26.3,Moderate
84,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",04/23/2020,38.2,Extreme
85,Symptoms of Anxiety Disorder,By Education,Less than a high school diploma,04/23/2020,37.3,Extreme
86,Symptoms of Anxiety Disorder,By Education,High school diploma or GED,04/23/2020,30.6,High
87,Symptoms of Anxiety Disorder,By Education,Some college/Associate's degree,04/23/2020,33.5,High
88,Symptoms of Anxiety Disorder,By Education,Bachelor's degree or higher,04/23/2020,27.0,Moderate
89,Symptoms of Anxiety Disorder,By State,Alabama,04/23/2020,25.6,Moderate
90,Symptoms of Anxiety Disorder,By State,Alaska,04/23/2020,27.7,Moderate
91,Symptoms of Anxiety Disorder,By State,Arizona,04/23/2020,32.3,High
92,Symptoms of Anxiety Disorder,By State,Arkansas,04/23/2020,33.7,High
93,Symptoms of Anxiety Disorder,By State,California,04/23/2020,30.8,High
94,Symptoms of Anxiety Disorder,By State,Colorado,04/23/2020,32.6,High
95,Symptoms of Anxiety Disorder,By State,Connecticut,04/23/2020,34.9,High
96,Symptoms of Anxiety Disorder,By State,Delaware,04/23/2020,29.9,High
97,Symptoms of Anxiety Disorder,By State,District of Columbia,04/23/2020,31.4,High
98,Symptoms of Anxiety Disorder,By State,Florida,04/23/2020,32.6,High
99,Symptoms of Anxiety Disorder,By State,Georgia,04/23/2020,31.9,High
100,Symptoms of Anxiety Disorder,By State,Hawaii,04/23/2020,32.3,High
101,Symptoms of Anxiety Disorder,By State,Idaho,04/23/2020,26.9,Moderate
102,Symptoms of Anxiety Disorder,By State,Illinois,04/23/2020,31.1,High
103,Symptoms of Anxiety Disorder,By State,Indiana,04/23/2020,31.8,High
104,Symptoms of Anxiety Disorder,By State,Iowa,04/23/2020,22.5,Mild
105,Symptoms of Anxiety Disorder,By State,Kansas,04/23/2020,26.4,Moderate
106,Symptoms of Anxiety Disorder,By State,Kentucky,04/23/2020,31.6,High
107,Symptoms of Anxiety Disorder,By State,Louisiana,04/23/2020,34.4,High
108,Symptoms of Anxiety Disorder,By State,Maine,04/23/2020,29.5,Moderate
109,Symptoms of Anxiety Disorder,By State,Maryland,04/23/2020,27.7,Moderate
110,Symptoms of Anxiety Disorder,By State,Massachusetts,04/23/2020,37.0,Extreme
111,Symptoms of Anxiety Disorder,By State,Michigan,04/23/2020,32.5,High
112,Symptoms of Anxiety Disorder,By State,Minnesota,04/23/2020,28.5,Moderate
113,Symptoms of Anxiety Disorder,By State,Mississippi,04/23/2020,30.3,High
114,Symptoms of Anxiety Disorder,By State,Missouri,04/23/2020,30.4,High
115,Symptoms of Anxiety Disorder,By State,Montana,04/23/2020,22.8,Mild
116,Symptoms of Anxiety Disorder,By State,Nebraska,04/23/2020,24.2,Mild
117,Symptoms of Anxiety Disorder,By State,Nevada,04/23/2020,31.4,High
118,Symptoms of Anxiety Disorder,By State,New Hampshire,04/23/2020,31.3,High
119,Symptoms of Anxiety Disorder,By State,New Jersey,04/23/2020,31.4,High
120,Symptoms of Anxiety Disorder,By State,New Mexico,04/23/2020,27.9,Moderate
121,Symptoms of Anxiety Disorder,By State,New York,04/23/2020,36.1,Extreme
122,Symptoms of Anxiety Disorder,By State,North Carolina,04/23/2020,30.0,High
123,Symptoms of Anxiety Disorder,By State,North Dakota,04/23/2020,21.7,Mild
124,Symptoms of Anxiety Disorder,By State,Ohio,04/23/2020,31.1,High
125,Symptoms of Anxiety Disorder,By State,Oklahoma,04/23/2020,28.6,Moderate
126,Symptoms of Anxiety Disorder,By State,Oregon,04/23/2020,31.5,High
127,Symptoms of Anxiety Disorder,By State,Pennsylvania,04/23/2020,31.0,High
128,Symptoms of Anxiety Disorder,By State,Rhode Island,04/23/2020,27.6,Moderate
129,Symptoms of Anxiety Disorder,By State,South Carolina,04/23/2020,27.8,Moderate
130,Symptoms of Anxiety Disorder,By State,South Dakota,04/23/2020,22.1,Mild
131,Symptoms of Anxiety Disorder,By State,Tennessee,04/23/2020,28.2,Moderate
132,Symptoms of Anxiety Disorder,By State,Texas,04/23/2020,29.7,Moderate
133,Symptoms of Anxiety Disorder,By State,Utah,04/23/2020,28.9,Moderate
134,Symptoms of Anxiety Disorder,By State,Vermont,04/23/2020,30.6,High
135,Symptoms of Anxiety Disorder,By State,Virginia,04/23/2020,28.5,Moderate
136,Symptoms of Anxiety Disorder,By State,Washington,04/23/2020,30.6,High
137,Symptoms of Anxiety Disorder,By State,West Virginia,04/23/2020,28.8,Moderate
138,Symptoms of Anxiety Disorder,By State,Wisconsin,04/23/2020,27.1,Moderate
139,Symptoms of Anxiety Disorder,By State,Wyoming,04/23/2020,24.9,Moderate
140,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,04/23/2020,35.9,Extreme
141,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,04/23/2020,46.8,Extreme
142,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,04/23/2020,39.6,Extreme
143,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,04/23/2020,38.9,Extreme
144,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,04/23/2020,35.8,Extreme
145,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,04/23/2020,28.9,Moderate
146,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,04/23/2020,21.5,Mild
147,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,04/23/2020,21.1,Mild
148,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,Male,04/23/2020,31.0,High
149,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,Female,04/23/2020,40.7,Extreme
150,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,04/23/2020,42.7,Extreme
151,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",04/23/2020,33.6,High
152,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",04/23/2020,38.9,Extreme
153,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",04/23/2020,31.9,High
154,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",04/23/2020,43.9,Extreme
155,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Less than a high school diploma,04/23/2020,45.4,Extreme
156,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,High school diploma or GED,04/23/2020,36.7,Extreme
157,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Some college/Associate's degree,04/23/2020,38.5,Extreme
158,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Bachelor's degree or higher,04/23/2020,30.7,High
159,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,04/23/2020,30.3,High
160,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,04/23/2020,31.5,High
161,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,04/23/2020,36.4,Extreme
162,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,04/23/2020,38.0,Extreme
163,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,04/23/2020,37.4,Extreme
164,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,04/23/2020,35.9,Extreme
165,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,04/23/2020,40.2,Extreme
166,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,04/23/2020,34.7,High
167,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,04/23/2020,37.6,Extreme
168,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,04/23/2020,36.8,Extreme
169,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,04/23/2020,36.2,Extreme
170,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,04/23/2020,37.0,Extreme
171,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,04/23/2020,33.3,High
172,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,04/23/2020,36.6,Extreme
173,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,04/23/2020,37.8,Extreme
174,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,04/23/2020,28.2,Moderate
175,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,04/23/2020,32.5,High
176,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,04/23/2020,36.4,Extreme
177,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,04/23/2020,38.9,Extreme
178,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,04/23/2020,34.3,High
179,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,04/23/2020,32.9,High
180,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,04/23/2020,40.6,Extreme
181,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,04/23/2020,39.4,Extreme
182,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,04/23/2020,32.4,High
183,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,04/23/2020,34.5,High
184,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,04/23/2020,35.2,Extreme
185,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,04/23/2020,27.3,Moderate
186,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,04/23/2020,28.6,Moderate
187,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,04/23/2020,34.8,High
188,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,04/23/2020,34.8,High
189,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,04/23/2020,37.6,Extreme
190,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,04/23/2020,34.6,High
191,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,04/23/2020,41.4,Extreme
192,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,04/23/2020,34.6,High
193,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,04/23/2020,27.7,Moderate
194,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,04/23/2020,35.1,High
195,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,04/23/2020,34.1,High
196,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,04/23/2020,36.8,Extreme
197,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,04/23/2020,35.1,High
198,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,04/23/2020,34.4,High
199,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,04/23/2020,33.3,High
200,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,04/23/2020,25.6,Moderate
201,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,04/23/2020,33.4,High
202,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,04/23/2020,34.9,High
203,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,04/23/2020,34.7,High
204,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,04/23/2020,33.9,High
205,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,04/23/2020,33.7,High
206,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,04/23/2020,35.0,High
207,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,04/23/2020,34.3,High
208,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,04/23/2020,31.1,High
209,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,04/23/2020,31.0,High
210,Symptoms of Depressive Disorder,National Estimate,United States,05/07/2020,24.1,Mild
211,Symptoms of Depressive Disorder,By Age,18 - 29 years,05/07/2020,36.2,Extreme
212,Symptoms of Depressive Disorder,By Age,30 - 39 years,05/07/2020,27.7,Moderate
213,Symptoms of Depressive Disorder,By Age,40 - 49 years,05/07/2020,25.5,Moderate
214,Symptoms of Depressive Disorder,By Age,50 - 59 years,05/07/2020,24.1,Mild
215,Symptoms of Depressive Disorder,By Age,60 - 69 years,05/07/2020,17.6,Mild
216,Symptoms of Depressive Disorder,By Age,70 - 79 years,05/07/2020,12.2,Mild
217,Symptoms of Depressive Disorder,By Age,80 years and above,05/07/2020,9.1,Mild
218,Symptoms of Depressive Disorder,By Sex,Male,05/07/2020,22.3,Mild
219,Symptoms of Depressive Disorder,By Sex,Female,05/07/2020,25.8,Moderate
220,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,05/07/2020,27.9,Moderate
221,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",05/07/2020,22.5,Mild
222,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",05/07/2020,27.7,Moderate
223,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",05/07/2020,19.5,Mild
224,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",05/07/2020,33.0,High
225,Symptoms of Depressive Disorder,By Education,Less than a high school diploma,05/07/2020,31.4,High
226,Symptoms of Depressive Disorder,By Education,High school diploma or GED,05/07/2020,27.1,Moderate
227,Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,05/07/2020,26.5,Moderate
228,Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,05/07/2020,17.2,Mild
229,Symptoms of Depressive Disorder,By State,Alabama,05/07/2020,22.5,Mild
230,Symptoms of Depressive Disorder,By State,Alaska,05/07/2020,25.1,Moderate
231,Symptoms of Depressive Disorder,By State,Arizona,05/07/2020,25.3,Moderate
232,Symptoms of Depressive Disorder,By State,Arkansas,05/07/2020,24.5,Mild
233,Symptoms of Depressive Disorder,By State,California,05/07/2020,22.8,Mild
234,Symptoms of Depressive Disorder,By State,Colorado,05/07/2020,23.6,Mild
235,Symptoms of Depressive Disorder,By State,Connecticut,05/07/2020,21.5,Mild
236,Symptoms of Depressive Disorder,By State,Delaware,05/07/2020,23.3,Mild
237,Symptoms of Depressive Disorder,By State,District of Columbia,05/07/2020,30.3,High
238,Symptoms of Depressive Disorder,By State,Florida,05/07/2020,24.8,Moderate
239,Symptoms of Depressive Disorder,By State,Georgia,05/07/2020,25.6,Moderate
240,Symptoms of Depressive Disorder,By State,Hawaii,05/07/2020,16.8,Mild
241,Symptoms of Depressive Disorder,By State,Idaho,05/07/2020,17.0,Mild
242,Symptoms of Depressive Disorder,By State,Illinois,05/07/2020,29.2,Moderate
243,Symptoms of Depressive Disorder,By State,Indiana,05/07/2020,19.9,Mild
244,Symptoms of Depressive Disorder,By State,Iowa,05/07/2020,18.1,Mild
245,Symptoms of Depressive Disorder,By State,Kansas,05/07/2020,16.7,Mild
246,Symptoms of Depressive Disorder,By State,Kentucky,05/07/2020,25.6,Moderate
247,Symptoms of Depressive Disorder,By State,Louisiana,05/07/2020,30.0,High
248,Symptoms of Depressive Disorder,By State,Maine,05/07/2020,17.1,Mild
249,Symptoms of Depressive Disorder,By State,Maryland,05/07/2020,24.6,Mild
250,Symptoms of Depressive Disorder,By State,Massachusetts,05/07/2020,18.9,Mild
251,Symptoms of Depressive Disorder,By State,Michigan,05/07/2020,23.4,Mild
252,Symptoms of Depressive Disorder,By State,Minnesota,05/07/2020,18.4,Mild
253,Symptoms of Depressive Disorder,By State,Mississippi,05/07/2020,35.5,Extreme
254,Symptoms of Depressive Disorder,By State,Missouri,05/07/2020,24.1,Mild
255,Symptoms of Depressive Disorder,By State,Montana,05/07/2020,20.8,Mild
256,Symptoms of Depressive Disorder,By State,Nebraska,05/07/2020,21.6,Mild
257,Symptoms of Depressive Disorder,By State,Nevada,05/07/2020,31.2,High
258,Symptoms of Depressive Disorder,By State,New Hampshire,05/07/2020,23.3,Mild
259,Symptoms of Depressive Disorder,By State,New Jersey,05/07/2020,26.4,Moderate
260,Symptoms of Depressive Disorder,By State,New Mexico,05/07/2020,29.0,Moderate
261,Symptoms of Depressive Disorder,By State,New York,05/07/2020,29.2,Moderate
262,Symptoms of Depressive Disorder,By State,North Carolina,05/07/2020,20.2,Mild
263,Symptoms of Depressive Disorder,By State,North Dakota,05/07/2020,20.2,Mild
264,Symptoms of Depressive Disorder,By State,Ohio,05/07/2020,26.4,Moderate
265,Symptoms of Depressive Disorder,By State,Oklahoma,05/07/2020,20.7,Mild
266,Symptoms of Depressive Disorder,By State,Oregon,05/07/2020,17.8,Mild
267,Symptoms of Depressive Disorder,By State,Pennsylvania,05/07/2020,23.0,Mild
268,Symptoms of Depressive Disorder,By State,Rhode Island,05/07/2020,22.8,Mild
269,Symptoms of Depressive Disorder,By State,South Carolina,05/07/2020,25.6,Moderate
270,Symptoms of Depressive Disorder,By State,South Dakota,05/07/2020,20.5,Mild
271,Symptoms of Depressive Disorder,By State,Tennessee,05/07/2020,21.7,Mild
272,Symptoms of Depressive Disorder,By State,Texas,05/07/2020,25.7,Moderate
273,Symptoms of Depressive Disorder,By State,Utah,05/07/2020,22.6,Mild
274,Symptoms of Depressive Disorder,By State,Vermont,05/07/2020,26.8,Moderate
275,Symptoms of Depressive Disorder,By State,Virginia,05/07/2020,20.6,Mild
276,Symptoms of Depressive Disorder,By State,Washington,05/07/2020,22.9,Mild
277,Symptoms of Depressive Disorder,By State,West Virginia,05/07/2020,31.8,High
278,Symptoms of Depressive Disorder,By State,Wisconsin,05/07/2020,22.9,Mild
279,Symptoms of Depressive Disorder,By State,Wyoming,05/07/2020,18.6,Mild
280,Symptoms of Anxiety Disorder,National Estimate,United States,05/07/2020,30.0,High
281,Symptoms of Anxiety Disorder,By Age,18 - 29 years,05/07/2020,42.0,Extreme
282,Symptoms of Anxiety Disorder,By Age,30 - 39 years,05/07/2020,34.3,High
283,Symptoms of Anxiety Disorder,By Age,40 - 49 years,05/07/2020,31.9,High
284,Symptoms of Anxiety Disorder,By Age,50 - 59 years,05/07/2020,31.3,High
285,Symptoms of Anxiety Disorder,By Age,60 - 69 years,05/07/2020,22.0,Mild
286,Symptoms of Anxiety Disorder,By Age,70 - 79 years,05/07/2020,16.4,Mild
287,Symptoms of Anxiety Disorder,By Age,80 years and above,05/07/2020,11.0,Mild
288,Symptoms of Anxiety Disorder,By Sex,Male,05/07/2020,26.7,Moderate
289,Symptoms of Anxiety Disorder,By Sex,Female,05/07/2020,33.1,High
290,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,05/07/2020,36.2,Extreme
291,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",05/07/2020,27.8,Moderate
292,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",05/07/2020,33.0,High
293,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",05/07/2020,26.3,Moderate
294,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",05/07/2020,38.9,Extreme
295,Symptoms of Anxiety Disorder,By Education,Less than a high school diploma,05/07/2020,36.6,Extreme
296,Symptoms of Anxiety Disorder,By Education,High school diploma or GED,05/07/2020,32.8,High
297,Symptoms of Anxiety Disorder,By Education,Some college/Associate's degree,05/07/2020,31.5,High
298,Symptoms of Anxiety Disorder,By Education,Bachelor's degree or higher,05/07/2020,24.2,Mild
299,Symptoms of Anxiety Disorder,By State,Alabama,05/07/2020,27.2,Moderate
300,Symptoms of Anxiety Disorder,By State,Alaska,05/07/2020,27.4,Moderate
301,Symptoms of Anxiety Disorder,By State,Arizona,05/07/2020,34.2,High
302,Symptoms of Anxiety Disorder,By State,Arkansas,05/07/2020,29.1,Moderate
303,Symptoms of Anxiety Disorder,By State,California,05/07/2020,31.4,High
304,Symptoms of Anxiety Disorder,By State,Colorado,05/07/2020,29.7,Moderate
305,Symptoms of Anxiety Disorder,By State,Connecticut,05/07/2020,29.1,Moderate
306,Symptoms of Anxiety Disorder,By State,Delaware,05/07/2020,24.9,Moderate
