Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk
Symptoms of Depressive Disorder,By Sexual orientation,Straight,2021-09-01,19.9,Mild
Symptoms of Depressive Disorder,By Sexual orientation,Bisexual,2021-09-01,49.0,Extreme
Symptoms of Anxiety Disorder,By Sexual orientation,Gay or lesbian,2021-09-01,46.2,Extreme
Symptoms of Anxiety Disorder,By Sexual orientation,Straight,2021-09-01,25.4,Moderate
Symptoms of Anxiety Disorder,By Sexual orientation,Bisexual,2021-09-01,58.3,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-09-01,51.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Straight,2021-09-01,29.4,Moderate
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Bisexual,2021-09-01,62.4,Extreme
Symptoms of Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-09-15,38.9,Extreme
Symptoms of Depressive Disorder,By Sexual orientation,Straight,2021-09-15,19.6,Mild
Symptoms of Depressive Disorder,By Sexual orientation,Bisexual,2021-09-15,48.8,Extreme
Symptoms of Anxiety Disorder,By Sexual orientation,Gay or lesbian,2021-09-15,45.0,Extreme
Symptoms of Anxiety Disorder,By Sexual orientation,Straight,2021-09-15,25.0,Moderate
Symptoms of Anxiety Disorder,By Sexual orientation,Bisexual,2021-09-15,59.0,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-09-15,51.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Straight,2021-09-15,29.0,Moderate
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Bisexual,2021-09-15,65.4,Extreme
Symptoms of Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-09-29,34.9,High
Symptoms of Depressive Disorder,By Sexual orientation,Straight,2021-09-29,19.4,Mild
Symptoms of Depressive Disorder,By Sexual orientation,Bisexual,2021-09-29,44.6,Extreme
Symptoms of Anxiety Disorder,By Sexual orientation,Gay or lesbian,2021-09-29,39.0,Extreme
Symptoms of Anxiety Disorder,By Sexual orientation,Straight,2021-09-29,24.8,Moderate
Symptoms of Anxiety Disorder,By Sexual orientation,Bisexual,2021-09-29,53.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-09-29,44.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Straight,2021-09-29,28.9,Moderate
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Bisexual,2021-09-29,58.5,Extreme
Symptoms of Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-12-01,35.0,High
Symptoms of Depressive Disorder,By Sexual orientation,Straight,2021-12-01,19.2,Mild
Symptoms of Depressive Disorder,By Sexual orientation,Bisexual,2021-12-01,45.6,Extreme
Symptoms of Anxiety Disorder,By Sexual orientation,Gay or lesbian,2021-12-01,36.7,Extreme
Symptoms of Anxiety Disorder,By Sexual orientation,Straight,2021-12-01,24.3,Mild
Symptoms of Anxiety Disorder,By Sexual orientation,Bisexual,2021-12-01,52.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-12-01,45.3,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Straight,2021-12-01,28.1,Moderate
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Bisexual,2021-12-01,59.2,Extreme
