Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk,year
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-05-21,36.7,Extreme,2020
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-05-21,27.4,Moderate,2020
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-05-21,24.2,Mild,2020
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-05-21,24.6,Mild,2020
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-05-21,19.8,Mild,2020
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-05-21,13.3,Mild,2020
Symptoms of Depressive Disorder,By Age,80 years and above,2020-05-21,17.1,Mild,2020
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-05-21,39.1,Extreme,2020
Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-05-21,35.2,Extreme,2020
Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-05-21,31.4,High,2020
Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-05-21,29.3,Moderate,2020
Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-05-21,22.2,Mild,2020
Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-05-21,15.0,Mild,2020
Symptoms of Anxiety Disorder,By Age,80 years and above,2020-05-21,17.1,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-05-21,46.6,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-05-21,39.5,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-05-21,35.7,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-05-21,33.7,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-05-21,27.4,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-05-21,18.8,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-05-21,20.1,Mild,2020
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-05-28,36.8,Extreme,2020
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-05-28,27.9,Moderate,2020
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-05-28,25.7,Moderate,2020
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-05-28,25.1,Moderate,2020
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-05-28,18.0,Mild,2020
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-05-28,15.5,Mild,2020
Symptoms of Depressive Disorder,By Age,80 years and above,2020-05-28,14.9,Mild,2020
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-05-28,42.2,Extreme,2020
Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-05-28,35.8,Extreme,2020
Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-05-28,32.1,High,2020
Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-05-28,29.3,Moderate,2020
Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-05-28,23.0,Mild,2020
Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-05-28,18.2,Mild,2020
Symptoms of Anxiety Disorder,By Age,80 years and above,2020-05-28,13.3,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-05-28,49.3,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-05-28,40.6,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-05-28,36.9,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-05-28,33.6,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-05-28,27.0,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-05-28,21.7,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-05-28,19.2,Mild,2020
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-06-04,37.0,Extreme,2020
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-06-04,29.1,Moderate,2020
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-06-04,27.0,Moderate,2020
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-06-04,26.0,Moderate,2020
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-06-04,19.8,Mild,2020
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-06-04,13.1,Mild,2020
Symptoms of Depressive Disorder,By Age,80 years and above,2020-06-04,12.3,Mild,2020
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-06-04,41.7,Extreme,2020
Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-06-04,36.8,Extreme,2020
Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-06-04,34.9,High,2020
Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-06-04,31.8,High,2020
Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-06-04,22.3,Mild,2020
Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-06-04,15.4,Mild,2020
Symptoms of Anxiety Disorder,By Age,80 years and above,2020-06-04,13.7,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-06-04,49.3,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-06-04,41.5,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-06-04,39.0,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-06-04,36.0,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-06-04,27.4,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-06-04,19.0,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-06-04,18.6,Mild,2020
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-06-11,36.8,Extreme,2020
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-06-11,26.7,Moderate,2020
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-06-11,25.9,Moderate,2020
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-06-11,24.6,Mild,2020
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-06-11,19.6,Mild,2020
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-06-11,15.5,Mild,2020
Symptoms of Depressive Disorder,By Age,80 years and above,2020-06-11,9.9,Mild,2020
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-06-11,42.9,Extreme,2020
Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-06-11,35.8,Extreme,2020
Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-06-11,34.8,High,2020
Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-06-11,31.7,High,2020
Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-06-11,23.6,Mild,2020
Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-06-11,18.0,Mild,2020
Symptoms of Anxiety Disorder,By Age,80 years and above,2020-06-11,14.6,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-06-11,48.7,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-06-11,40.3,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-06-11,38.4,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-06-11,35.8,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-06-11,27.7,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-06-11,21.7,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-06-11,17.6,Mild,2020
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-06-18,36.7,Extreme,2020
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-06-18,28.3,Moderate,2020
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-06-18,26.2,Moderate,2020
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-06-18,26.0,Moderate,2020
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-06-18,19.3,Mild,2020
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-06-18,14.5,Mild,2020
Symptoms of Depressive Disorder,By Age,80 years and above,2020-06-18,10.8,Mild,2020
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-06-18,42.8,Extreme,2020
Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-06-18,36.0,Extreme,2020
Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-06-18,34.0,High,2020
Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-06-18,32.4,High,2020
Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-06-18,23.1,Mild,2020
Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-06-18,14.8,Mild,2020
Symptoms of Anxiety Disorder,By Age,80 years and above,2020-06-18,11.4,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-06-18,50.0,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-06-18,40.8,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-06-18,38.5,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-06-18,36.3,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-06-18,27.4,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-06-18,19.3,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-06-18,14.6,Mild,2020
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-06-25,36.6,Extreme,2020
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-06-25,30.7,High,2020
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-06-25,27.7,Moderate,2020
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-06-25,27.1,Moderate,2020
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-06-25,20.5,Mild,2020
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-06-25,16.1,Mild,2020
Symptoms of Depressive Disorder,By Age,80 years and above,2020-06-25,15.2,Mild,2020
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-06-25,42.4,Extreme,2020
Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-06-25,38.9,Extreme,2020
Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-06-25,35.4,Extreme,2020
Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-06-25,33.9,High,2020
Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-06-25,25.0,Moderate,2020
Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-06-25,18.6,Mild,2020
Symptoms of Anxiety Disorder,By Age,80 years and above,2020-06-25,16.2,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-06-25,49.4,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-06-25,44.1,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-06-25,39.7,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-06-25,37.4,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-06-25,29.1,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-06-25,23.4,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-06-25,20.5,Mild,2020
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-07-02,35.8,Extreme,2020
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-07-02,31.7,High,2020
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-07-02,27.6,Moderate,2020
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-07-02,28.2,Moderate,2020
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-07-02,21.8,Mild,2020
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-07-02,17.8,Mild,2020
Symptoms of Depressive Disorder,By Age,80 years and above,2020-07-02,18.7,Mild,2020
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-07-02,44.4,Extreme,2020
Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-07-02,40.6,Extreme,2020
Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-07-02,36.1,Extreme,2020
Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-07-02,33.4,High,2020
Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-07-02,26.5,Moderate,2020
Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-07-02,18.4,Mild,2020
Symptoms of Anxiety Disorder,By Age,80 years and above,2020-07-02,19.3,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-07-02,50.4,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-07-02,45.9,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-07-02,40.0,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-07-02,38.3,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-07-02,30.8,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-07-02,24.5,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-07-02,25.6,Moderate,2020
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-07-09,39.0,Extreme,2020
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-07-09,32.3,High,2020
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-07-09,28.5,Moderate,2020
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-07-09,29.2,Moderate,2020
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-07-09,21.7,Mild,2020
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-07-09,13.9,Mild,2020
Symptoms of Depressive Disorder,By Age,80 years and above,2020-07-09,12.0,Mild,2020
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-07-09,47.7,Extreme,2020
Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-07-09,42.9,Extreme,2020
Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-07-09,37.7,Extreme,2020
Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-07-09,34.7,High,2020
Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-07-09,27.8,Moderate,2020
Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-07-09,17.8,Mild,2020
Symptoms of Anxiety Disorder,By Age,80 years and above,2020-07-09,15.6,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-07-09,55.0,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-07-09,46.8,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-07-09,41.6,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-07-09,39.8,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-07-09,31.8,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-07-09,21.4,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-07-09,18.9,Mild,2020
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-07-16,41.7,Extreme,2020
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-07-16,32.8,High,2020
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-07-16,31.0,High,2020
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-07-16,28.4,Moderate,2020
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-07-16,23.6,Mild,2020
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-07-16,16.9,Mild,2020
Symptoms of Depressive Disorder,By Age,80 years and above,2020-07-16,12.6,Mild,2020
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-07-16,46.6,Extreme,2020
Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-07-16,42.8,Extreme,2020
Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-07-16,39.9,Extreme,2020
Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-07-16,36.1,Extreme,2020
Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-07-16,27.3,Moderate,2020
Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-07-16,19.5,Mild,2020
Symptoms of Anxiety Disorder,By Age,80 years and above,2020-07-16,13.4,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-07-16,53.4,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-07-16,47.1,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-07-16,44.5,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-07-16,40.0,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-07-16,32.1,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-07-16,24.3,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-07-16,17.5,Mild,2020
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-08-19,35.4,Extreme,2020
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-08-19,27.9,Moderate,2020
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-08-19,23.8,Mild,2020
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-08-19,23.8,Mild,2020
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-08-19,19.7,Mild,2020
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-08-19,14.8,Mild,2020
Symptoms of Depressive Disorder,By Age,80 years and above,2020-08-19,13.8,Mild,2020
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-08-19,41.0,Extreme,2020
Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-08-19,37.7,Extreme,2020
Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-08-19,33.1,High,2020
Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-08-19,31.1,High,2020
Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-08-19,25.2,Moderate,2020
Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-08-19,18.2,Mild,2020
Symptoms of Anxiety Disorder,By Age,80 years and above,2020-08-19,14.6,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-08-19,49.0,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-08-19,42.5,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-08-19,37.6,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-08-19,34.9,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-08-19,29.3,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-08-19,23.2,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-08-19,19.4,Mild,2020
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-09-02,34.9,High,2020
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-09-02,27.2,Moderate,2020
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-09-02,25.8,Moderate,2020
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-09-02,23.1,Mild,2020
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-09-02,19.4,Mild,2020
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-09-02,14.9,Mild,2020
Symptoms of Depressive Disorder,By Age,80 years and above,2020-09-02,13.3,Mild,2020
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-09-02,40.6,Extreme,2020
Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-09-02,37.9,Extreme,2020
Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-09-02,33.7,High,2020
Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-09-02,30.8,High,2020
Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-09-02,24.9,Moderate,2020
Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-09-02,19.2,Mild,2020
Symptoms of Anxiety Disorder,By Age,80 years and above,2020-09-02,17.7,Mild,2020
