,Group,Subgroup,Time_Period,Risk
290,By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-07,Extreme
291,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-07,Moderate
292,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-07,High
293,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-07,Moderate
294,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-07,Extreme
295,By Education,Less than a high school diploma,2020-05-07,Extreme
296,By Education,High school diploma or GED,2020-05-07,High
297,By Education,Some college/Associate's degree,2020-05-07,High
298,By Education,Bachelor's degree or higher,2020-05-07,Mild
299,By State,Alabama,2020-05-07,Moderate
300,By State,Alaska,2020-05-07,Moderate
301,By State,Arizona,2020-05-07,High
302,By State,Arkansas,2020-05-07,Moderate
303,By State,California,2020-05-07,High
304,By State,Colorado,2020-05-07,Moderate
305,By State,Connecticut,2020-05-07,Moderate
306,By State,Delaware,2020-05-07,Moderate
307,By State,District of Columbia,2020-05-07,Extreme
308,By State,Florida,2020-05-07,Moderate
309,By State,Georgia,2020-05-07,Moderate
310,By State,Hawaii,2020-05-07,Mild
311,By State,Idaho,2020-05-07,Moderate
312,By State,Illinois,2020-05-07,Extreme
313,By State,Indiana,2020-05-07,High
314,By State,Iowa,2020-05-07,Mild
315,By State,Kansas,2020-05-07,Moderate
316,By State,Kentucky,2020-05-07,Moderate
317,By State,Louisiana,2020-05-07,High
318,By State,Maine,2020-05-07,Moderate
319,By State,Maryland,2020-05-07,High
320,By State,Massachusetts,2020-05-07,Moderate
321,By State,Michigan,2020-05-07,Moderate
322,By State,Minnesota,2020-05-07,Mild
323,By State,Mississippi,2020-05-07,Extreme
324,By State,Missouri,2020-05-07,Extreme
325,By State,Montana,2020-05-07,Moderate
326,By State,Nebraska,2020-05-07,Moderate
327,By State,Nevada,2020-05-07,High
328,By State,New Hampshire,2020-05-07,High
329,By State,New Jersey,2020-05-07,Extreme
330,By State,New Mexico,2020-05-07,High
331,By State,New York,2020-05-07,High
332,By State,North Carolina,2020-05-07,Moderate
333,By State,North Dakota,2020-05-07,Moderate
334,By State,Ohio,2020-05-07,Moderate
335,By State,Oklahoma,2020-05-07,Moderate
336,By State,Oregon,2020-05-07,Moderate
337,By State,Pennsylvania,2020-05-07,Moderate
338,By State,Rhode Island,2020-05-07,Moderate
339,By State,South Carolina,2020-05-07,Moderate
340,By State,South Dakota,2020-05-07,Moderate
341,By State,Tennessee,2020-05-07,Moderate
342,By State,Texas,2020-05-07,High
343,By State,Utah,2020-05-07,Moderate
344,By State,Vermont,2020-05-07,High
345,By State,Virginia,2020-05-07,Moderate
346,By State,Washington,2020-05-07,Moderate
347,By State,West Virginia,2020-05-07,High
348,By State,Wisconsin,2020-05-07,Moderate
349,By State,Wyoming,2020-05-07,Mild
490,National Estimate,United States,2020-05-14,Moderate
491,By Age,18 - 29 years,2020-05-14,Extreme
492,By Age,30 - 39 years,2020-05-14,High
493,By Age,40 - 49 years,2020-05-14,High
494,By Age,50 - 59 years,2020-05-14,Moderate
495,By Age,60 - 69 years,2020-05-14,Mild
496,By Age,70 - 79 years,2020-05-14,Mild
497,By Age,80 years and above,2020-05-14,Mild
498,By Sex,Male,2020-05-14,Mild
499,By Sex,Female,2020-05-14,High
500,By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-14,High
501,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-14,Moderate
502,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-14,High
503,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-14,Mild
504,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-14,High
505,By Education,Less than a high school diploma,2020-05-14,High
506,By Education,High school diploma or GED,2020-05-14,High
507,By Education,Some college/Associate's degree,2020-05-14,High
508,By Education,Bachelor's degree or higher,2020-05-14,Mild
509,By State,Alabama,2020-05-14,Mild
510,By State,Alaska,2020-05-14,Moderate
511,By State,Arizona,2020-05-14,Moderate
512,By State,Arkansas,2020-05-14,Moderate
513,By State,California,2020-05-14,High
514,By State,Colorado,2020-05-14,Moderate
515,By State,Connecticut,2020-05-14,Moderate
516,By State,Delaware,2020-05-14,Moderate
517,By State,District of Columbia,2020-05-14,High
518,By State,Florida,2020-05-14,Moderate
519,By State,Georgia,2020-05-14,Moderate
520,By State,Hawaii,2020-05-14,Mild
521,By State,Idaho,2020-05-14,Mild
522,By State,Illinois,2020-05-14,Moderate
523,By State,Indiana,2020-05-14,High
524,By State,Iowa,2020-05-14,Mild
525,By State,Kansas,2020-05-14,Moderate
526,By State,Kentucky,2020-05-14,Moderate
527,By State,Louisiana,2020-05-14,Moderate
528,By State,Maine,2020-05-14,High
529,By State,Maryland,2020-05-14,Moderate
530,By State,Massachusetts,2020-05-14,Moderate
531,By State,Michigan,2020-05-14,Moderate
532,By State,Minnesota,2020-05-14,Moderate
533,By State,Mississippi,2020-05-14,Extreme
534,By State,Missouri,2020-05-14,High
535,By State,Montana,2020-05-14,Moderate
536,By State,Nebraska,2020-05-14,Mild
537,By State,Nevada,2020-05-14,Moderate
538,By State,New Hampshire,2020-05-14,Moderate
539,By State,New Jersey,2020-05-14,High
540,By State,New Mexico,2020-05-14,Moderate
541,By State,New York,2020-05-14,Moderate
542,By State,North Carolina,2020-05-14,Moderate
543,By State,North Dakota,2020-05-14,Moderate
544,By State,Ohio,2020-05-14,Moderate
545,By State,Oklahoma,2020-05-14,Moderate
546,By State,Oregon,2020-05-14,Mild
547,By State,Pennsylvania,2020-05-14,Moderate
548,By State,Rhode Island,2020-05-14,Mild
549,By State,South Carolina,2020-05-14,Moderate
550,By State,South Dakota,2020-05-14,Mild
551,By State,Tennessee,2020-05-14,Moderate
552,By State,Texas,2020-05-14,Moderate
553,By State,Utah,2020-05-14,Moderate
554,By State,Vermont,2020-05-14,Moderate
555,By State,Virginia,2020-05-14,Moderate
556,By State,Washington,2020-05-14,Moderate
557,By State,West Virginia,2020-05-14,Moderate
558,By State,Wisconsin,2020-05-14,Mild
559,By State,Wyoming,2020-05-14,Mild
700,National Estimate,United States,2020-05-21,Moderate
701,By Age,18 - 29 years,2020-05-21,Extreme
702,By Age,30 - 39 years,2020-05-21,Extreme
703,By Age,40 - 49 years,2020-05-21,High
704,By Age,50 - 59 years,2020-05-21,Moderate
705,By Age,60 - 69 years,2020-05-21,Mild
706,By Age,70 - 79 years,2020-05-21,Mild
707,By Age,80 years and above,2020-05-21,Mild
708,By Sex,Male,2020-05-21,Moderate
709,By Sex,Female,2020-05-21,High
710,By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-21,Extreme
711,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-21,Moderate
712,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-21,High
713,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-21,Mild
714,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-21,Extreme
715,By Education,Less than a high school diploma,2020-05-21,Extreme
716,By Education,High school diploma or GED,2020-05-21,Moderate
717,By Education,Some college/Associate's degree,2020-05-21,High
718,By Education,Bachelor's degree or higher,2020-05-21,Mild
719,By State,Alabama,2020-05-21,Moderate
720,By State,Alaska,2020-05-21,High
721,By State,Arizona,2020-05-21,Moderate
722,By State,Arkansas,2020-05-21,Moderate
723,By State,California,2020-05-21,High
724,By State,Colorado,2020-05-21,Moderate
725,By State,Connecticut,2020-05-21,Mild
726,By State,Delaware,2020-05-21,Mild
727,By State,District of Columbia,2020-05-21,High
728,By State,Florida,2020-05-21,High
729,By State,Georgia,2020-05-21,High
730,By State,Hawaii,2020-05-21,Mild
731,By State,Idaho,2020-05-21,Mild
732,By State,Illinois,2020-05-21,High
733,By State,Indiana,2020-05-21,High
734,By State,Iowa,2020-05-21,Mild
735,By State,Kansas,2020-05-21,High
736,By State,Kentucky,2020-05-21,High
737,By State,Louisiana,2020-05-21,Extreme
738,By State,Maine,2020-05-21,Mild
739,By State,Maryland,2020-05-21,Moderate
740,By State,Massachusetts,2020-05-21,Moderate
741,By State,Michigan,2020-05-21,Moderate
742,By State,Minnesota,2020-05-21,Mild
743,By State,Mississippi,2020-05-21,High
744,By State,Missouri,2020-05-21,Moderate
745,By State,Montana,2020-05-21,Mild
746,By State,Nebraska,2020-05-21,Mild
747,By State,Nevada,2020-05-21,Extreme
748,By State,New Hampshire,2020-05-21,Mild
749,By State,New Jersey,2020-05-21,Moderate
750,By State,New Mexico,2020-05-21,Extreme
751,By State,New York,2020-05-21,High
752,By State,North Carolina,2020-05-21,Moderate
753,By State,North Dakota,2020-05-21,Mild
754,By State,Ohio,2020-05-21,High
755,By State,Oklahoma,2020-05-21,Moderate
756,By State,Oregon,2020-05-21,High
757,By State,Pennsylvania,2020-05-21,Moderate
758,By State,Rhode Island,2020-05-21,High
759,By State,South Carolina,2020-05-21,Moderate
760,By State,South Dakota,2020-05-21,High
761,By State,Tennessee,2020-05-21,Moderate
762,By State,Texas,2020-05-21,High
763,By State,Utah,2020-05-21,Moderate
764,By State,Vermont,2020-05-21,Mild
765,By State,Virginia,2020-05-21,Moderate
766,By State,Washington,2020-05-21,Moderate
767,By State,West Virginia,2020-05-21,High
768,By State,Wisconsin,2020-05-21,Mild
769,By State,Wyoming,2020-05-21,Mild
910,National Estimate,United States,2020-05-28,High
911,By Age,18 - 29 years,2020-05-28,Extreme
912,By Age,30 - 39 years,2020-05-28,Extreme
913,By Age,40 - 49 years,2020-05-28,High
914,By Age,50 - 59 years,2020-05-28,Moderate
915,By Age,60 - 69 years,2020-05-28,Mild
916,By Age,70 - 79 years,2020-05-28,Mild
917,By Age,80 years and above,2020-05-28,Mild
918,By Sex,Male,2020-05-28,Moderate
919,By Sex,Female,2020-05-28,High
920,By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-28,High
921,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-28,Moderate
922,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-28,High
923,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-28,Moderate
924,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-28,Extreme
925,By Education,Less than a high school diploma,2020-05-28,Extreme
926,By Education,High school diploma or GED,2020-05-28,High
927,By Education,Some college/Associate's degree,2020-05-28,High
928,By Education,Bachelor's degree or higher,2020-05-28,Moderate
929,By State,Alabama,2020-05-28,High
930,By State,Alaska,2020-05-28,Moderate
931,By State,Arizona,2020-05-28,Moderate
932,By State,Arkansas,2020-05-28,Extreme
933,By State,California,2020-05-28,High
934,By State,Colorado,2020-05-28,Moderate
935,By State,Connecticut,2020-05-28,Moderate
936,By State,Delaware,2020-05-28,Moderate
937,By State,District of Columbia,2020-05-28,Moderate
938,By State,Florida,2020-05-28,High
939,By State,Georgia,2020-05-28,High
940,By State,Hawaii,2020-05-28,Mild
941,By State,Idaho,2020-05-28,Moderate
942,By State,Illinois,2020-05-28,High
943,By State,Indiana,2020-05-28,High
944,By State,Iowa,2020-05-28,Moderate
945,By State,Kansas,2020-05-28,Moderate
946,By State,Kentucky,2020-05-28,High
947,By State,Louisiana,2020-05-28,High
948,By State,Maine,2020-05-28,Moderate
949,By State,Maryland,2020-05-28,Moderate
950,By State,Massachusetts,2020-05-28,Moderate
951,By State,Michigan,2020-05-28,Moderate
952,By State,Minnesota,2020-05-28,Moderate
953,By State,Mississippi,2020-05-28,High
954,By State,Missouri,2020-05-28,High
955,By State,Montana,2020-05-28,Mild
956,By State,Nebraska,2020-05-28,Mild
957,By State,Nevada,2020-05-28,High
958,By State,New Hampshire,2020-05-28,Moderate
959,By State,New Jersey,2020-05-28,High
960,By State,New Mexico,2020-05-28,Extreme
961,By State,New York,2020-05-28,High
962,By State,North Carolina,2020-05-28,Moderate
963,By State,North Dakota,2020-05-28,Mild
964,By State,Ohio,2020-05-28,Moderate
965,By State,Oklahoma,2020-05-28,High
966,By State,Oregon,2020-05-28,Extreme
967,By State,Pennsylvania,2020-05-28,High
968,By State,Rhode Island,2020-05-28,High
969,By State,South Carolina,2020-05-28,Moderate
970,By State,South Dakota,2020-05-28,Moderate
971,By State,Tennessee,2020-05-28,High
972,By State,Texas,2020-05-28,High
973,By State,Utah,2020-05-28,Moderate
974,By State,Vermont,2020-05-28,High
975,By State,Virginia,2020-05-28,Moderate
976,By State,Washington,2020-05-28,High
977,By State,West Virginia,2020-05-28,High
978,By State,Wisconsin,2020-05-28,Mild
979,By State,Wyoming,2020-05-28,Moderate
1120,National Estimate,United States,2020-06-04,High
1121,By Age,18 - 29 years,2020-06-04,Extreme
1122,By Age,30 - 39 years,2020-06-04,Extreme
1123,By Age,40 - 49 years,2020-06-04,High
1124,By Age,50 - 59 years,2020-06-04,High
1125,By Age,60 - 69 years,2020-06-04,Mild
1126,By Age,70 - 79 years,2020-06-04,Mild
1127,By Age,80 years and above,2020-06-04,Mild
1128,By Sex,Male,2020-06-04,Moderate
1129,By Sex,Female,2020-06-04,High
1130,By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-04,High
1131,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-04,Moderate
1132,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-04,High
1133,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-04,Moderate
1134,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-04,Extreme
1135,By Education,Less than a high school diploma,2020-06-04,Extreme
1136,By Education,High school diploma or GED,2020-06-04,High
1137,By Education,Some college/Associate's degree,2020-06-04,High
1138,By Education,Bachelor's degree or higher,2020-06-04,Moderate
1139,By State,Alabama,2020-06-04,High
1140,By State,Alaska,2020-06-04,Moderate
1141,By State,Arizona,2020-06-04,High
1142,By State,Arkansas,2020-06-04,High
1143,By State,California,2020-06-04,High
1144,By State,Colorado,2020-06-04,High
1145,By State,Connecticut,2020-06-04,Moderate
1146,By State,Delaware,2020-06-04,Moderate
1147,By State,District of Columbia,2020-06-04,High
1148,By State,Florida,2020-06-04,High
1149,By State,Georgia,2020-06-04,High
1150,By State,Hawaii,2020-06-04,Mild
1151,By State,Idaho,2020-06-04,Moderate
1152,By State,Illinois,2020-06-04,High
1153,By State,Indiana,2020-06-04,Moderate
1154,By State,Iowa,2020-06-04,High
1155,By State,Kansas,2020-06-04,High
1156,By State,Kentucky,2020-06-04,High
1157,By State,Louisiana,2020-06-04,High
1158,By State,Maine,2020-06-04,High
1159,By State,Maryland,2020-06-04,Mild
1160,By State,Massachusetts,2020-06-04,Moderate
1161,By State,Michigan,2020-06-04,Mild
1162,By State,Minnesota,2020-06-04,Moderate
1163,By State,Mississippi,2020-06-04,High
1164,By State,Missouri,2020-06-04,Mild
1165,By State,Montana,2020-06-04,Moderate
1166,By State,Nebraska,2020-06-04,Mild
1167,By State,Nevada,2020-06-04,High
1168,By State,New Hampshire,2020-06-04,High
1169,By State,New Jersey,2020-06-04,High
1170,By State,New Mexico,2020-06-04,Moderate
1171,By State,New York,2020-06-04,Extreme
1172,By State,North Carolina,2020-06-04,High
1173,By State,North Dakota,2020-06-04,Mild
1174,By State,Ohio,2020-06-04,High
1175,By State,Oklahoma,2020-06-04,Moderate
1176,By State,Oregon,2020-06-04,High
1177,By State,Pennsylvania,2020-06-04,Moderate
1178,By State,Rhode Island,2020-06-04,Moderate
1179,By State,South Carolina,2020-06-04,Mild
1180,By State,South Dakota,2020-06-04,Moderate
1181,By State,Tennessee,2020-06-04,High
1182,By State,Texas,2020-06-04,High
1183,By State,Utah,2020-06-04,Moderate
1184,By State,Vermont,2020-06-04,High
1185,By State,Virginia,2020-06-04,Moderate
1186,By State,Washington,2020-06-04,Moderate
1187,By State,West Virginia,2020-06-04,Extreme
1188,By State,Wisconsin,2020-06-04,Moderate
1189,By State,Wyoming,2020-06-04,Mild
1330,National Estimate,United States,2020-06-11,High
1331,By Age,18 - 29 years,2020-06-11,Extreme
1332,By Age,30 - 39 years,2020-06-11,Extreme
1333,By Age,40 - 49 years,2020-06-11,High
1334,By Age,50 - 59 years,2020-06-11,High
1335,By Age,60 - 69 years,2020-06-11,Mild
1336,By Age,70 - 79 years,2020-06-11,Mild
1337,By Age,80 years and above,2020-06-11,Mild
1338,By Sex,Male,2020-06-11,Moderate
1339,By Sex,Female,2020-06-11,High
1340,By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-11,High
1341,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-11,High
1342,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-11,Extreme
1343,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-11,Moderate
1344,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-11,Extreme
1345,By Education,Less than a high school diploma,2020-06-11,Extreme
1346,By Education,High school diploma or GED,2020-06-11,High
1347,By Education,Some college/Associate's degree,2020-06-11,High
1348,By Education,Bachelor's degree or higher,2020-06-11,Moderate
1349,By State,Alabama,2020-06-11,High
1350,By State,Alaska,2020-06-11,High
1351,By State,Arizona,2020-06-11,Moderate
1352,By State,Arkansas,2020-06-11,High
1353,By State,California,2020-06-11,High
1354,By State,Colorado,2020-06-11,High
1355,By State,Connecticut,2020-06-11,High
1356,By State,Delaware,2020-06-11,High
1357,By State,District of Columbia,2020-06-11,Moderate
1358,By State,Florida,2020-06-11,Extreme
1359,By State,Georgia,2020-06-11,High
1360,By State,Hawaii,2020-06-11,High
1361,By State,Idaho,2020-06-11,Moderate
1362,By State,Illinois,2020-06-11,High
1363,By State,Indiana,2020-06-11,High
1364,By State,Iowa,2020-06-11,Moderate
1365,By State,Kansas,2020-06-11,High
1366,By State,Kentucky,2020-06-11,Moderate
1367,By State,Louisiana,2020-06-11,Extreme
1368,By State,Maine,2020-06-11,High
1369,By State,Maryland,2020-06-11,High
1370,By State,Massachusetts,2020-06-11,Moderate
1371,By State,Michigan,2020-06-11,High
1372,By State,Minnesota,2020-06-11,Moderate
1373,By State,Mississippi,2020-06-11,High
1374,By State,Missouri,2020-06-11,High
1375,By State,Montana,2020-06-11,High
1376,By State,Nebraska,2020-06-11,Mild
1377,By State,Nevada,2020-06-11,High
1378,By State,New Hampshire,2020-06-11,Moderate
1379,By State,New Jersey,2020-06-11,High
1380,By State,New Mexico,2020-06-11,Mild
1381,By State,New York,2020-06-11,Moderate
1382,By State,North Carolina,2020-06-11,High
1383,By State,North Dakota,2020-06-11,High
1384,By State,Ohio,2020-06-11,High
1385,By State,Oklahoma,2020-06-11,High
1386,By State,Oregon,2020-06-11,Extreme
1387,By State,Pennsylvania,2020-06-11,Moderate
1388,By State,Rhode Island,2020-06-11,Moderate
1389,By State,South Carolina,2020-06-11,High
1390,By State,South Dakota,2020-06-11,Mild
1391,By State,Tennessee,2020-06-11,Moderate
1392,By State,Texas,2020-06-11,Extreme
1393,By State,Utah,2020-06-11,High
1394,By State,Vermont,2020-06-11,High
1395,By State,Virginia,2020-06-11,High
1396,By State,Washington,2020-06-11,Moderate
1397,By State,West Virginia,2020-06-11,Moderate
1398,By State,Wisconsin,2020-06-11,Mild
1399,By State,Wyoming,2020-06-11,Mild
1540,National Estimate,United States,2020-06-18,High
1541,By Age,18 - 29 years,2020-06-18,Extreme
1542,By Age,30 - 39 years,2020-06-18,Extreme
1543,By Age,40 - 49 years,2020-06-18,High
1544,By Age,50 - 59 years,2020-06-18,High
1545,By Age,60 - 69 years,2020-06-18,Mild
1546,By Age,70 - 79 years,2020-06-18,Mild
1547,By Age,80 years and above,2020-06-18,Mild
1548,By Sex,Male,2020-06-18,Moderate
1549,By Sex,Female,2020-06-18,High
1550,By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-18,Extreme
1551,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-18,High
1552,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-18,High
1553,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-18,Mild
1554,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-18,Extreme
1555,By Education,Less than a high school diploma,2020-06-18,Extreme
1556,By Education,High school diploma or GED,2020-06-18,High
1557,By Education,Some college/Associate's degree,2020-06-18,High
1558,By Education,Bachelor's degree or higher,2020-06-18,Moderate
1559,By State,Alabama,2020-06-18,High
1560,By State,Alaska,2020-06-18,High
1561,By State,Arizona,2020-06-18,High
1562,By State,Arkansas,2020-06-18,High
1563,By State,California,2020-06-18,High
1564,By State,Colorado,2020-06-18,Moderate
1565,By State,Connecticut,2020-06-18,High
1566,By State,Delaware,2020-06-18,Mild
1567,By State,District of Columbia,2020-06-18,Extreme
1568,By State,Florida,2020-06-18,High
1569,By State,Georgia,2020-06-18,High
1570,By State,Hawaii,2020-06-18,Mild
1571,By State,Idaho,2020-06-18,Moderate
1572,By State,Illinois,2020-06-18,High
1573,By State,Indiana,2020-06-18,High
1574,By State,Iowa,2020-06-18,High
1575,By State,Kansas,2020-06-18,Moderate
1576,By State,Kentucky,2020-06-18,High
1577,By State,Louisiana,2020-06-18,Extreme
1578,By State,Maine,2020-06-18,Mild
1579,By State,Maryland,2020-06-18,High
1580,By State,Massachusetts,2020-06-18,Moderate
1581,By State,Michigan,2020-06-18,Moderate
1582,By State,Minnesota,2020-06-18,Moderate
1583,By State,Mississippi,2020-06-18,High
1584,By State,Missouri,2020-06-18,Moderate
1585,By State,Montana,2020-06-18,Moderate
1586,By State,Nebraska,2020-06-18,Moderate
1587,By State,Nevada,2020-06-18,Extreme
1588,By State,New Hampshire,2020-06-18,High
1589,By State,New Jersey,2020-06-18,High
1590,By State,New Mexico,2020-06-18,Extreme
1591,By State,New York,2020-06-18,Moderate
1592,By State,North Carolina,2020-06-18,Moderate
1593,By State,North Dakota,2020-06-18,Moderate
1594,By State,Ohio,2020-06-18,Moderate
1595,By State,Oklahoma,2020-06-18,Extreme
1596,By State,Oregon,2020-06-18,Extreme
1597,By State,Pennsylvania,2020-06-18,High
1598,By State,Rhode Island,2020-06-18,Moderate
1599,By State,South Carolina,2020-06-18,High
1600,By State,South Dakota,2020-06-18,Mild
1601,By State,Tennessee,2020-06-18,High
1602,By State,Texas,2020-06-18,High
1603,By State,Utah,2020-06-18,High
1604,By State,Vermont,2020-06-18,Moderate
1605,By State,Virginia,2020-06-18,High
1606,By State,Washington,2020-06-18,High
1607,By State,West Virginia,2020-06-18,High
1608,By State,Wisconsin,2020-06-18,Mild
1609,By State,Wyoming,2020-06-18,Mild
1750,National Estimate,United States,2020-06-25,High
1751,By Age,18 - 29 years,2020-06-25,Extreme
1752,By Age,30 - 39 years,2020-06-25,Extreme
1753,By Age,40 - 49 years,2020-06-25,Extreme
1754,By Age,50 - 59 years,2020-06-25,High
1755,By Age,60 - 69 years,2020-06-25,Moderate
1756,By Age,70 - 79 years,2020-06-25,Mild
1757,By Age,80 years and above,2020-06-25,Mild
1758,By Sex,Male,2020-06-25,Moderate
1759,By Sex,Female,2020-06-25,Extreme
1760,By Race/Hispanic ethnicity,Hispanic or Latino,2020-06-25,Extreme
1761,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-06-25,High
1762,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-06-25,High
1763,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-06-25,Mild
1764,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-06-25,Extreme
1765,By Education,Less than a high school diploma,2020-06-25,Extreme
1766,By Education,High school diploma or GED,2020-06-25,High
1767,By Education,Some college/Associate's degree,2020-06-25,Extreme
1768,By Education,Bachelor's degree or higher,2020-06-25,Moderate
1769,By State,Alabama,2020-06-25,Moderate
1770,By State,Alaska,2020-06-25,High
1771,By State,Arizona,2020-06-25,Extreme
1772,By State,Arkansas,2020-06-25,High
1773,By State,California,2020-06-25,High
1774,By State,Colorado,2020-06-25,High
