,Indicator,Group,State,Subgroup,Time Period Start Date,Value,year
25,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,2020-04-23,mild,2020
26,Symptoms of Depressive Disorder,By State,Delaware,Delaware,2020-04-23,mild,2020
27,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,2020-04-23,mild,2020
28,Symptoms of Depressive Disorder,By State,Florida,Florida,2020-04-23,mild,2020
29,Symptoms of Depressive Disorder,By State,Georgia,Georgia,2020-04-23,mild,2020
30,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,2020-04-23,mild,2020
31,Symptoms of Depressive Disorder,By State,Idaho,Idaho,2020-04-23,mild,2020
32,Symptoms of Depressive Disorder,By State,Illinois,Illinois,2020-04-23,mild,2020
33,Symptoms of Depressive Disorder,By State,Indiana,Indiana,2020-04-23,mild,2020
34,Symptoms of Depressive Disorder,By State,Iowa,Iowa,2020-04-23,mild,2020
35,Symptoms of Depressive Disorder,By State,Kansas,Kansas,2020-04-23,mild,2020
36,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,2020-04-23,mild,2020
37,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,2020-04-23,mild,2020
38,Symptoms of Depressive Disorder,By State,Maine,Maine,2020-04-23,mild,2020
39,Symptoms of Depressive Disorder,By State,Maryland,Maryland,2020-04-23,mild,2020
40,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,2020-04-23,mild,2020
41,Symptoms of Depressive Disorder,By State,Michigan,Michigan,2020-04-23,mild,2020
42,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,2020-04-23,mild,2020
43,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,2020-04-23,mild,2020
44,Symptoms of Depressive Disorder,By State,Missouri,Missouri,2020-04-23,mild,2020
45,Symptoms of Depressive Disorder,By State,Montana,Montana,2020-04-23,mild,2020
46,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,2020-04-23,mild,2020
47,Symptoms of Depressive Disorder,By State,Nevada,Nevada,2020-04-23,mild,2020
48,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,2020-04-23,mild,2020
49,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,2020-04-23,mild,2020
50,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,2020-04-23,mild,2020
51,Symptoms of Depressive Disorder,By State,New York,New York,2020-04-23,mild,2020
52,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,2020-04-23,mild,2020
53,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,2020-04-23,mild,2020
54,Symptoms of Depressive Disorder,By State,Ohio,Ohio,2020-04-23,mild,2020
55,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,2020-04-23,mild,2020
56,Symptoms of Depressive Disorder,By State,Oregon,Oregon,2020-04-23,mild,2020
57,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,2020-04-23,mild,2020
58,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,2020-04-23,mild,2020
59,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,2020-04-23,mild,2020
60,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,2020-04-23,mild,2020
61,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,2020-04-23,mild,2020
62,Symptoms of Depressive Disorder,By State,Texas,Texas,2020-04-23,mild,2020
63,Symptoms of Depressive Disorder,By State,Utah,Utah,2020-04-23,mild,2020
64,Symptoms of Depressive Disorder,By State,Vermont,Vermont,2020-04-23,mild,2020
65,Symptoms of Depressive Disorder,By State,Virginia,Virginia,2020-04-23,mild,2020
66,Symptoms of Depressive Disorder,By State,Washington,Washington,2020-04-23,mild,2020
67,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,2020-04-23,mild,2020
68,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,2020-04-23,mild,2020
69,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,2020-04-23,mild,2020
70,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2020-04-23,mild,2020
71,Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,2020-04-23,mild,2020
72,Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,2020-04-23,mild,2020
73,Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,2020-04-23,mild,2020
74,Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,2020-04-23,mild,2020
75,Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,2020-04-23,mild,2020
76,Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,2020-04-23,mild,2020
77,Symptoms of Anxiety Disorder,By Age,United States,80 years and above,2020-04-23,mild,2020
78,Symptoms of Anxiety Disorder,By Sex,United States,Male,2020-04-23,mild,2020
79,Symptoms of Anxiety Disorder,By Sex,United States,Female,2020-04-23,mild,2020
80,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2020-04-23,mild,2020
81,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2020-04-23,mild,2020
82,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2020-04-23,mild,2020
83,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2020-04-23,mild,2020
84,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2020-04-23,mild,2020
85,Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,2020-04-23,mild,2020
86,Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,2020-04-23,mild,2020
87,Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,2020-04-23,mild,2020
88,Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,2020-04-23,mild,2020
89,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,2020-04-23,mild,2020
90,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,2020-04-23,mild,2020
91,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,2020-04-23,mild,2020
92,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,2020-04-23,mild,2020
93,Symptoms of Anxiety Disorder,By State,California,California,2020-04-23,mild,2020
94,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,2020-04-23,mild,2020
95,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,2020-04-23,mild,2020
96,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,2020-04-23,mild,2020
97,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,2020-04-23,mild,2020
98,Symptoms of Anxiety Disorder,By State,Florida,Florida,2020-04-23,mild,2020
99,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,2020-04-23,mild,2020
100,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,2020-04-23,mild,2020
101,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,2020-04-23,mild,2020
102,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,2020-04-23,mild,2020
103,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,2020-04-23,mild,2020
104,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,2020-04-23,mild,2020
105,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,2020-04-23,mild,2020
106,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,2020-04-23,mild,2020
107,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,2020-04-23,mild,2020
108,Symptoms of Anxiety Disorder,By State,Maine,Maine,2020-04-23,mild,2020
109,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,2020-04-23,mild,2020
110,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,2020-04-23,mild,2020
111,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,2020-04-23,mild,2020
112,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,2020-04-23,mild,2020
113,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,2020-04-23,mild,2020
114,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,2020-04-23,mild,2020
115,Symptoms of Anxiety Disorder,By State,Montana,Montana,2020-04-23,mild,2020
116,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,2020-04-23,mild,2020
117,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,2020-04-23,mild,2020
118,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,2020-04-23,mild,2020
119,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,2020-04-23,mild,2020
120,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,2020-04-23,mild,2020
121,Symptoms of Anxiety Disorder,By State,New York,New York,2020-04-23,mild,2020
122,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,2020-04-23,mild,2020
123,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,2020-04-23,mild,2020
124,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,2020-04-23,mild,2020
125,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,2020-04-23,mild,2020
126,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,2020-04-23,mild,2020
127,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,2020-04-23,mild,2020
128,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,2020-04-23,mild,2020
129,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,2020-04-23,mild,2020
130,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,2020-04-23,mild,2020
131,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,2020-04-23,mild,2020
132,Symptoms of Anxiety Disorder,By State,Texas,Texas,2020-04-23,mild,2020
133,Symptoms of Anxiety Disorder,By State,Utah,Utah,2020-04-23,mild,2020
134,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,2020-04-23,mild,2020
135,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,2020-04-23,mild,2020
136,Symptoms of Anxiety Disorder,By State,Washington,Washington,2020-04-23,mild,2020
137,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,2020-04-23,mild,2020
138,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,2020-04-23,mild,2020
139,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,2020-04-23,mild,2020
140,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2020-04-23,mild,2020
141,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,2020-04-23,mild,2020
142,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,2020-04-23,mild,2020
143,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,2020-04-23,mild,2020
144,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,2020-04-23,mild,2020
145,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,2020-04-23,mild,2020
146,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,2020-04-23,mild,2020
147,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,2020-04-23,mild,2020
148,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,2020-04-23,mild,2020
149,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Female,2020-04-23,mild,2020
150,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2020-04-23,mild,2020
151,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2020-04-23,mild,2020
152,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2020-04-23,mild,2020
153,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2020-04-23,mild,2020
154,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2020-04-23,mild,2020
155,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,2020-04-23,mild,2020
156,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,2020-04-23,mild,2020
157,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,2020-04-23,mild,2020
158,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,2020-04-23,mild,2020
159,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2020-04-23,mild,2020
160,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2020-04-23,mild,2020
161,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,2020-04-23,mild,2020
162,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,2020-04-23,mild,2020
163,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,2020-04-23,mild,2020
164,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,2020-04-23,mild,2020
165,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,2020-04-23,mild,2020
166,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,2020-04-23,mild,2020
167,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,2020-04-23,mild,2020
168,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,2020-04-23,mild,2020
169,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2020-04-23,mild,2020
170,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2020-04-23,mild,2020
171,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,2020-04-23,mild,2020
172,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,2020-04-23,mild,2020
173,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,2020-04-23,mild,2020
174,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,2020-04-23,mild,2020
175,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,2020-04-23,mild,2020
176,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,2020-04-23,mild,2020
177,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,2020-04-23,mild,2020
178,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,2020-04-23,mild,2020
179,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,2020-04-23,mild,2020
180,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,2020-04-23,mild,2020
181,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,2020-04-23,mild,2020
182,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,2020-04-23,mild,2020
183,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,2020-04-23,mild,2020
184,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2020-04-23,mild,2020
185,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2020-04-23,mild,2020
186,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,2020-04-23,mild,2020
187,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,2020-04-23,mild,2020
188,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,2020-04-23,mild,2020
189,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,2020-04-23,mild,2020
190,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,2020-04-23,mild,2020
191,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2020-04-23,mild,2020
192,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,2020-04-23,mild,2020
193,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,2020-04-23,mild,2020
194,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,2020-04-23,mild,2020
195,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,2020-04-23,mild,2020
196,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,2020-04-23,mild,2020
197,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,2020-04-23,mild,2020
198,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,2020-04-23,mild,2020
199,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,2020-04-23,mild,2020
200,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,2020-04-23,mild,2020
201,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,2020-04-23,mild,2020
202,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,2020-04-23,mild,2020
203,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,2020-04-23,mild,2020
204,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,2020-04-23,mild,2020
205,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,2020-04-23,mild,2020
206,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,2020-04-23,mild,2020
207,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,2020-04-23,mild,2020
208,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,2020-04-23,mild,2020
209,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,2020-04-23,mild,2020
210,Symptoms of Depressive Disorder,National Estimate,United States,United States,2020-05-07,mild,2020
211,Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,2020-05-07,mild,2020
212,Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,2020-05-07,mild,2020
213,Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,2020-05-07,mild,2020
214,Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,2020-05-07,mild,2020
215,Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,2020-05-07,mild,2020
216,Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,2020-05-07,mild,2020
217,Symptoms of Depressive Disorder,By Age,United States,80 years and above,2020-05-07,mild,2020
218,Symptoms of Depressive Disorder,By Sex,United States,Male,2020-05-07,mild,2020
219,Symptoms of Depressive Disorder,By Sex,United States,Female,2020-05-07,mild,2020
220,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2020-05-07,mild,2020
221,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2020-05-07,mild,2020
222,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2020-05-07,mild,2020
223,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2020-05-07,mild,2020
224,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2020-05-07,mild,2020
225,Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,2020-05-07,mild,2020
226,Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,2020-05-07,mild,2020
227,Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,2020-05-07,mild,2020
228,Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,2020-05-07,mild,2020
229,Symptoms of Depressive Disorder,By State,Alabama,Alabama,2020-05-07,mild,2020
230,Symptoms of Depressive Disorder,By State,Alaska,Alaska,2020-05-07,mild,2020
231,Symptoms of Depressive Disorder,By State,Arizona,Arizona,2020-05-07,mild,2020
232,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,2020-05-07,mild,2020
233,Symptoms of Depressive Disorder,By State,California,California,2020-05-07,mild,2020
234,Symptoms of Depressive Disorder,By State,Colorado,Colorado,2020-05-07,mild,2020
235,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,2020-05-07,mild,2020
236,Symptoms of Depressive Disorder,By State,Delaware,Delaware,2020-05-07,mild,2020
237,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,2020-05-07,mild,2020
238,Symptoms of Depressive Disorder,By State,Florida,Florida,2020-05-07,mild,2020
239,Symptoms of Depressive Disorder,By State,Georgia,Georgia,2020-05-07,mild,2020
240,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,2020-05-07,mild,2020
241,Symptoms of Depressive Disorder,By State,Idaho,Idaho,2020-05-07,mild,2020
242,Symptoms of Depressive Disorder,By State,Illinois,Illinois,2020-05-07,mild,2020
243,Symptoms of Depressive Disorder,By State,Indiana,Indiana,2020-05-07,mild,2020
244,Symptoms of Depressive Disorder,By State,Iowa,Iowa,2020-05-07,mild,2020
245,Symptoms of Depressive Disorder,By State,Kansas,Kansas,2020-05-07,mild,2020
246,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,2020-05-07,mild,2020
247,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,2020-05-07,mild,2020
248,Symptoms of Depressive Disorder,By State,Maine,Maine,2020-05-07,mild,2020
249,Symptoms of Depressive Disorder,By State,Maryland,Maryland,2020-05-07,mild,2020
250,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,2020-05-07,mild,2020
251,Symptoms of Depressive Disorder,By State,Michigan,Michigan,2020-05-07,mild,2020
252,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,2020-05-07,mild,2020
253,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,2020-05-07,mild,2020
254,Symptoms of Depressive Disorder,By State,Missouri,Missouri,2020-05-07,mild,2020
255,Symptoms of Depressive Disorder,By State,Montana,Montana,2020-05-07,mild,2020
256,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,2020-05-07,mild,2020
257,Symptoms of Depressive Disorder,By State,Nevada,Nevada,2020-05-07,mild,2020
258,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,2020-05-07,mild,2020
259,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,2020-05-07,mild,2020
260,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,2020-05-07,mild,2020
261,Symptoms of Depressive Disorder,By State,New York,New York,2020-05-07,mild,2020
262,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,2020-05-07,mild,2020
263,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,2020-05-07,mild,2020
264,Symptoms of Depressive Disorder,By State,Ohio,Ohio,2020-05-07,mild,2020
265,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,2020-05-07,mild,2020
266,Symptoms of Depressive Disorder,By State,Oregon,Oregon,2020-05-07,mild,2020
267,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,2020-05-07,mild,2020
268,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,2020-05-07,mild,2020
269,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,2020-05-07,mild,2020
270,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,2020-05-07,mild,2020
271,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,2020-05-07,mild,2020
272,Symptoms of Depressive Disorder,By State,Texas,Texas,2020-05-07,mild,2020
273,Symptoms of Depressive Disorder,By State,Utah,Utah,2020-05-07,mild,2020
274,Symptoms of Depressive Disorder,By State,Vermont,Vermont,2020-05-07,mild,2020
275,Symptoms of Depressive Disorder,By State,Virginia,Virginia,2020-05-07,mild,2020
276,Symptoms of Depressive Disorder,By State,Washington,Washington,2020-05-07,mild,2020
277,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,2020-05-07,mild,2020
278,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,2020-05-07,mild,2020
279,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,2020-05-07,mild,2020
280,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2020-05-07,mild,2020
281,Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,2020-05-07,mild,2020
282,Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,2020-05-07,mild,2020
283,Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,2020-05-07,mild,2020
284,Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,2020-05-07,mild,2020
285,Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,2020-05-07,mild,2020
286,Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,2020-05-07,mild,2020
287,Symptoms of Anxiety Disorder,By Age,United States,80 years and above,2020-05-07,mild,2020
288,Symptoms of Anxiety Disorder,By Sex,United States,Male,2020-05-07,mild,2020
289,Symptoms of Anxiety Disorder,By Sex,United States,Female,2020-05-07,mild,2020
